O2,P8,T8,FC6,F4,F8,AF4,label
4603.08,4184.62,4222.56,4183.59,4258.46,4567.69,4320.51,1
4646.67,4217.44,4227.18,4213.33,4298.46,4605.13,4372.82,0
4604.62,4190.77,4217.95,4188.72,4264.62,4577.44,4337.95,1
4609.23,4201.03,4228.21,4205.64,4276.41,4622.56,4358.46,1
4598.46,4191.79,4210.26,4180,4258.97,4590.77,4336.92,0
4627.18,4212.82,4233.85,4245.13,4324.62,4663.08,4421.03,1
4625.13,4213.85,4239.49,4218.97,4291.79,4615.9,4373.85,0
4608.21,4195.38,4228.21,4195.9,4281.03,4608.72,4354.87,0
4608.21,4203.08,4220,4199.49,4268.21,4613.85,4349.23,0
4618.97,4193.85,4223.59,4190.26,4270.77,4587.18,4336.92,1
4603.59,4198.46,4233.85,4204.1,4258.46,4602.56,4341.54,0
4609.23,4199.49,4229.74,4210.77,4280.51,4615.9,4362.56,1
4628.72,4225.64,4255.38,4183.59,4267.18,4619.49,4363.59,1
4619.49,4207.18,4235.38,4208.72,4264.62,4597.44,4358.97,0
4586.15,4178.97,4214.36,4142.05,4260.51,4596.41,4344.1,0
4601.54,4202.56,4229.23,4196.41,4265.64,4581.54,4326.67,0
4631.79,4218.97,4248.72,4216.92,4297.95,4598.97,4377.95,0
4644.62,4228.21,4255.9,4229.23,4297.95,4643.08,4394.36,1
4627.69,4209.74,4236.41,4213.85,4280,4617.95,4347.69,0
4625.64,4203.08,4222.56,4189.23,4257.95,4589.23,4298.97,0
4613.33,4196.92,4242.56,4237.95,4304.62,4669.23,4468.21,0
4610.77,4191.28,4215.38,4204.1,4271.79,4603.08,4348.21,0
4613.33,4200,4226.15,4206.67,4286.15,4610.26,4384.1,1
4601.54,4184.1,4188.72,4165.64,4281.03,4545.13,4362.56,1
4644.1,4225.13,4257.44,4237.44,4297.95,4627.18,4373.33,0
4648.72,4229.23,4254.36,4211.28,4285.64,4622.05,4344.62,1
4600,4194.87,4241.54,4174.87,4271.28,4609.23,4366.67,0
4620,4211.28,4250.26,4244.1,4305.64,4671.79,4418.97,1
4607.69,4196.41,4233.85,4191.79,4286.15,4608.21,4372.82,0
4597.44,4186.67,4219.49,4196.92,4266.67,4603.59,4350.77,1
4615.38,4200,4241.03,4200.51,4271.79,4597.44,4344.62,1
4614.87,4197.44,4223.59,4202.56,4268.21,4596.41,4353.85,1
4593.33,4180.51,4201.54,4186.15,4272.31,4582.56,4353.33,0
4617.44,4225.64,4285.64,4256.41,4326.15,4696.41,4481.03,0
4592.82,4188.21,4216.41,4186.67,4278.97,4604.62,4361.03,0
4618.46,4199.49,4227.18,4185.13,4266.67,4592.31,4351.79,0
4609.74,4202.05,4242.56,4208.21,4276.92,4617.95,4348.72,0
4614.87,4202.56,4228.72,4185.64,4277.95,4605.64,4356.41,0
4607.69,4201.54,4226.67,4220,4291.28,4623.59,4404.62,0
4627.69,4203.08,4230.77,4211.79,4282.05,4621.54,4353.33,1
4600,4190.77,4219.49,4179.49,4258.97,4592.82,4349.74,0
4598.97,4186.67,4221.54,4190.77,4271.28,4620.51,4352.31,1
4624.1,4210.77,4250.77,4219.49,4290.26,4630.77,4373.33,1
4590.77,4197.44,4223.59,4182.56,4254.87,4562.56,4313.33,0
4612.31,4213.33,4244.1,4204.1,4276.41,4605.13,4348.21,0
4606.15,4178.97,4218.97,4197.95,4255.38,4577.95,4344.1,0
4599.49,4183.08,4212.82,4193.85,4276.41,4611.28,4334.87,1
4632.31,4203.59,4227.69,4195.9,4282.05,4576.92,4349.23,0
4635.9,4230.26,4267.18,4228.21,4281.03,4633.85,4367.69,1
4586.15,4176.92,4222.56,4198.97,4259.49,4611.28,4342.56,1
4629.23,4200.51,4237.95,4187.69,4275.9,4602.05,4366.67,0
4643.08,4231.79,4240,4211.79,4289.74,4619.49,4343.59,1
4621.03,4207.18,4233.33,4218.97,4289.74,4611.28,4372.82,0
4601.54,4193.33,4227.18,4204.62,4281.03,4629.74,4346.67,1
4616.92,4198.46,4223.59,4205.13,4285.64,4587.18,4380.51,1
4608.21,4195.9,4223.08,4188.72,4269.74,4605.64,4338.97,1
4615.9,4196.41,4227.18,4212.82,4313.85,4637.44,4457.44,0
4641.03,4221.54,4246.15,4222.56,4295.9,4621.54,4353.85,0
4634.87,4229.23,4246.67,4242.05,4307.18,4652.82,4358.97,1
4623.59,4207.18,4231.28,4207.18,4284.1,4617.95,4358.46,0
4600,4190.77,4200.51,4177.44,4255.9,4560,4297.44,0
4613.85,4188.21,4231.28,4203.08,4262.56,4591.79,4341.03,0
4601.54,4197.44,4228.21,4199.49,4258.46,4618.46,4335.38,1
4606.67,4201.54,4233.33,4217.95,4286.67,4610.77,4366.67,1
4625.13,4206.67,4252.82,4222.56,4294.36,4640,4381.03,0
4607.69,4183.08,4222.56,4185.64,4265.13,4584.1,4343.08,1
4607.18,4188.21,4221.54,4191.28,4267.18,4586.67,4338.97,1
4596.92,4184.62,4220.51,4195.38,4267.18,4622.05,4344.1,1
4627.69,4208.21,4214.87,4200.51,4277.95,4581.54,4336.92,1
4595.9,4191.28,4224.1,4187.18,4264.1,4607.69,4324.62,1
4613.85,4198.46,4218.97,4188.72,4254.36,4603.08,4335.9,0
4617.44,4194.87,4215.9,4203.08,4274.36,4588.72,4343.08,1
4608.72,4192.82,4210.26,4170.26,4253.85,4569.74,4323.08,0
4629.74,4211.79,4243.08,4224.62,4291.28,4620,4393.85,1
4616.41,4215.38,4233.33,4206.67,4268.21,4592.82,4331.79,0
4591.79,4177.95,4212.31,4188.72,4270.77,4617.95,4356.41,1
4624.1,4197.44,4236.41,4188.21,4268.21,4593.85,4336.92,1
4615.38,4212.31,4226.15,4205.64,4263.08,4592.31,4353.85,0
4592.31,4183.08,4219.49,4190.26,4262.56,4603.59,4332.31,1
4601.03,4192.82,4211.28,4202.05,4296.41,4617.95,4427.69,1
4623.59,4202.05,4233.33,4202.56,4265.64,4587.69,4341.03,1
4611.79,4213.33,4248.21,4277.44,4340,4746.67,4538.97,0
4613.33,4202.56,4221.54,4190.26,4268.21,4594.36,4344.1,0
4620,4205.64,4233.33,4202.56,4269.23,4595.38,4352.31,1
4635.38,4206.15,4223.59,4197.44,4285.13,4571.79,4342.05,0
4604.62,4182.05,4214.87,4190.26,4258.97,4578.97,4337.95,1
4630.77,4202.05,4235.9,4208.72,4285.13,4612.31,4356.41,0
4612.82,4193.33,4227.69,4204.62,4283.08,4598.97,4355.9,1
4612.82,4194.36,4239.49,4189.23,4268.72,4580.51,4348.72,1
4610.26,4193.33,4205.13,4182.56,4266.67,4578.46,4331.79,1
4610.77,4199.49,4219.49,4208.21,4285.13,4608.21,4370.26,0
4644.1,4214.36,4248.21,4219.49,4281.54,4639.49,4389.74,1
4610.77,4185.13,4222.05,4190.77,4256.41,4592.82,4335.38,0
4624.1,4202.05,4238.97,4215.38,4282.56,4611.28,4362.56,1
4654.87,4242.56,4256.41,4222.05,4288.21,4642.05,4388.72,1
4615.38,4192.82,4226.15,4204.1,4292.82,4588.72,4354.87,0
4612.31,4199.49,4222.56,4166.15,4257.44,4580,4346.67,0
4592.31,4197.44,4233.33,4200,4285.13,4610.26,4367.69,0
4621.03,4221.03,4238.46,4229.74,4305.13,4631.79,4382.05,1
4622.56,4217.44,4236.41,4243.59,4314.36,4665.64,4422.05,1
4676.41,4258.97,4282.56,4224.62,4327.69,4634.36,4424.62,1
4599.49,4185.64,4247.69,4240,4315.9,4708.72,4498.46,0
4585.13,4185.13,4252.82,4240,4306.15,4671.28,4472.31,1
4605.13,4185.13,4222.56,4191.79,4268.72,4597.44,4344.62,1
4597.95,4198.97,4224.62,4192.82,4257.44,4573.33,4312.31,0
4611.28,4191.79,4215.38,4205.13,4273.33,4598.46,4376.41,0
4602.56,4207.69,4257.44,4215.38,4292.31,4622.05,4387.18,0
4605.13,4183.08,4213.33,4198.46,4274.36,4598.97,4357.44,0
4670.77,4253.33,4269.74,4225.64,4302.05,4648.21,4376.41,1
4615.38,4202.05,4228.72,4198.46,4272.31,4602.56,4342.56,0
4615.38,4200.51,4223.08,4214.87,4274.87,4602.56,4360,1
4612.82,4203.08,4266.67,4246.15,4316.92,4679.49,4475.9,0
4599.49,4191.79,4209.74,4174.36,4268.72,4603.08,4338.97,0
4601.03,4193.85,4216.41,4174.87,4253.85,4557.95,4295.9,0
4592.82,4171.79,4218.46,4190.26,4272.31,4588.72,4376.41,1
4626.67,4213.85,4238.97,4196.92,4285.64,4625.13,4386.15,1
4615.38,4209.74,4226.67,4200.51,4272.82,4584.62,4347.69,0
4625.13,4215.38,4257.44,4226.15,4300,4627.69,4376.92,0
4607.18,4214.87,4236.92,4206.67,4277.95,4614.87,4356.92,0
4594.87,4177.95,4190.26,4160,4233.85,4551.79,4290.77,0
4610.26,4212.31,4230.26,4214.36,4292.31,4621.54,4367.18,1
4608.21,4198.97,4230.77,4194.87,4275.38,4607.69,4353.33,0
4605.13,4199.49,4220.51,4207.18,4274.87,4594.36,4354.36,0
4607.18,4201.03,4218.46,4207.18,4274.87,4605.64,4356.92,0
4637.44,4208.72,4255.38,4236.41,4296.41,4632.31,4388.72,0
4589.23,4191.79,4237.44,4215.38,4293.33,4631.79,4426.67,1
4612.82,4192.82,4214.36,4196.41,4262.05,4586.67,4352.82,0
4615.9,4195.38,4218.46,4181.03,4261.54,4574.36,4323.59,0
4643.59,4213.33,4250.26,4222.05,4288.21,4643.08,4390.26,1
4601.03,4192.82,4220,4193.33,4266.67,4608.21,4325.64,1
4626.15,4228.72,4243.08,4221.03,4294.36,4625.64,4376.92,1
4598.46,4193.85,4224.62,4198.46,4257.44,4595.38,4341.54,0
4592.31,4157.95,4200,4164.62,4244.62,4535.9,4301.03,0
4615.38,4182.56,4214.87,4175.38,4245.13,4549.74,4310.26,0
4606.67,4197.44,4225.64,4210.26,4294.36,4610.77,4409.23,0
4616.41,4199.49,4212.31,4202.56,4276.41,4583.08,4335.38,1
4609.74,4210.77,4245.64,4205.13,4286.67,4601.03,4372.82,1
4610.26,4185.13,4221.54,4202.05,4277.95,4579.49,4358.46,1
4604.62,4180,4207.18,4219.49,4292.82,4643.08,4442.05,0
4615.38,4207.69,4244.62,4243.08,4309.23,4664.1,4450.77,1
4609.23,4196.92,4244.1,4207.18,4277.95,4601.54,4347.18,1
4616.41,4197.44,4211.28,4192.31,4283.59,4608.21,4362.56,0
4619.49,4190.26,4225.64,4182.05,4273.33,4602.56,4361.54,1
4625.13,4204.62,4225.64,4196.92,4261.54,4586.15,4333.33,0
4610.77,4201.03,4231.79,4172.31,4260,4596.92,4337.95,0
4600,4200,4258.97,4206.15,4286.15,4612.82,4391.28,0
4611.79,4207.18,4228.72,4209.23,4277.44,4611.79,4354.36,0
4613.33,4206.67,4241.54,4219.49,4286.15,4621.54,4372.82,1
4607.69,4199.49,4258.97,4230.26,4314.87,4662.56,4449.74,1
4618.46,4190.77,4224.1,4201.54,4269.23,4605.64,4343.59,0
4615.9,4213.33,4233.33,4205.13,4276.92,4597.95,4347.69,0
4651.79,4226.15,4255.38,4217.95,4294.36,4637.95,4352.31,1
4614.36,4197.95,4236.41,4190.77,4270.26,4596.41,4344.62,1
4631.28,4230.77,4258.97,4235.38,4297.95,4640,4388.72,1
4617.95,4201.54,4225.13,4181.54,4268.72,4594.36,4333.85,0
4602.05,4181.54,4200,4163.59,4257.44,4551.28,4323.59,0
4609.23,4194.87,4217.95,4197.95,4265.13,4600.51,4345.13,0
4605.64,4194.36,4228.72,4204.62,4288.21,4611.79,4375.38,0
4623.59,4225.13,4237.44,4183.08,4298.97,4621.54,4368.21,1
4627.18,4206.67,4235.38,4192.31,4262.05,4603.08,4343.59,0
4618.46,4207.18,4222.56,4196.92,4265.64,4589.23,4344.1,1
4627.69,4206.15,4239.49,4193.33,4270.77,4606.15,4361.03,1
4616.41,4197.95,4238.97,4182.05,4263.59,4600.51,4353.33,0
4607.18,4183.59,4205.64,4189.74,4246.15,4573.33,4328.21,0
4623.08,4199.49,4236.92,4207.69,4281.03,4590.77,4347.18,1
4613.33,4189.74,4216.92,4191.28,4251.28,4577.95,4338.97,0
4622.05,4207.69,4233.85,4211.28,4265.13,4617.44,4348.72,0
4601.03,4198.46,4203.08,4179.49,4262.05,4556.41,4318.97,0
4610.26,4208.72,4228.72,4213.33,4281.03,4620.51,4378.97,1
4609.23,4193.33,4228.72,4175.9,4275.38,4596.92,4345.64,0
4618.46,4200.51,4235.38,4254.87,4333.85,4696.41,4534.36,0
4620,4200,4222.05,4196.92,4268.72,4610.77,4370.26,0
4608.72,4182.05,4213.85,4222.05,4309.74,4656.92,4489.23,0
4609.23,4184.1,4212.82,4197.44,4256.41,4582.05,4335.9,0
4590.26,4186.67,4231.79,4190.26,4271.28,4592.31,4340.51,1
4674.87,4261.54,4304.62,4299.49,4350.26,4707.18,4464.1,1
4604.1,4200.51,4227.18,4208.21,4284.1,4606.15,4357.95,0
4605.13,4194.87,4221.03,4200,4266.67,4603.59,4335.9,0
4613.85,4200.51,4230.26,4204.1,4292.31,4597.44,4373.33,0
4628.21,4230.77,4252.31,4229.23,4298.97,4629.23,4376.92,1
4643.08,4227.69,4244.62,4233.33,4298.97,4642.05,4359.49,1
4654.36,4227.18,4264.1,4237.44,4302.56,4670.26,4423.08,1
4608.72,4192.82,4233.33,4197.44,4273.85,4598.97,4357.95,0
4612.82,4206.15,4224.1,4207.18,4274.87,4612.82,4364.1,0
4597.44,4196.92,4216.92,4184.62,4265.13,4591.28,4341.54,0
4616.92,4196.92,4229.23,4218.97,4283.08,4621.54,4398.97,1
4612.82,4192.31,4221.03,4195.9,4274.87,4593.33,4361.03,1
4592.31,4180.51,4218.97,4192.82,4276.41,4624.62,4365.64,1
4664.1,4233.33,4251.79,4202.56,4290.26,4601.54,4322.56,1
4614.87,4196.92,4225.64,4192.31,4269.23,4595.9,4350.77,0
4622.56,4210.77,4234.87,4205.64,4286.15,4627.18,4376.92,1
4625.64,4201.03,4236.41,4208.72,4275.38,4607.69,4347.69,1
4619.49,4224.1,4247.18,4224.1,4303.08,4649.23,4408.21,1
4606.67,4185.13,4229.74,4188.21,4249.74,4585.64,4342.05,0
4624.1,4211.28,4242.05,4200.51,4279.49,4601.03,4357.44,1
4647.18,4209.74,4221.03,4209.74,4293.85,4603.59,4350.26,0
4603.08,4194.87,4225.13,4185.13,4267.69,4578.97,4341.03,0
4630.26,4215.38,4242.56,4197.44,4276.41,4586.15,4351.28,0
4627.18,4199.49,4241.54,4224.1,4295.38,4617.95,4381.03,0
4585.13,4186.15,4219.49,4236.41,4304.1,4672.82,4471.79,1
4600,4167.69,4181.03,4166.15,4255.38,4559.49,4322.05,0
4596.92,4190.77,4201.03,4167.18,4244.1,4548.72,4294.87,0
4612.31,4185.13,4230.77,4197.95,4277.95,4586.67,4354.36,1
4624.62,4203.59,4233.33,4222.56,4308.21,4611.28,4424.62,0
4601.03,4184.62,4214.87,4197.44,4288.72,4612.31,4404.62,0
4604.1,4187.69,4239.49,4205.13,4277.44,4598.46,4356.92,0
4613.33,4213.85,4254.36,4213.85,4270.77,4611.28,4356.41,0
4626.15,4211.79,4231.79,4193.33,4256.92,4604.1,4324.62,0
4612.82,4188.21,4215.9,4216.92,4313.33,4638.97,4468.72,0
4627.18,4197.95,4233.85,4208.21,4270.77,4582.56,4338.46,1
4628.21,4205.13,4231.28,4208.72,4274.87,4611.28,4325.64,0
4604.62,4193.85,4225.13,4194.36,4274.87,4616.92,4335.38,1
4612.82,4193.33,4218.46,4196.92,4276.41,4598.46,4344.1,0
4626.67,4209.23,4235.9,4204.1,4281.03,4611.28,4358.46,0
4606.67,4177.95,4226.15,4196.92,4278.97,4578.46,4348.21,1
4642.05,4214.87,4227.69,4180.51,4302.05,4620,4381.03,1
4596.41,4193.33,4231.28,4201.54,4277.95,4604.62,4349.74,0
4609.74,4204.62,4223.59,4174.87,4273.33,4594.36,4354.36,1
4611.79,4197.95,4233.85,4196.92,4266.67,4587.18,4352.82,1
4619.49,4208.72,4215.38,4191.79,4264.1,4574.87,4330.77,1
4636.41,4214.36,4225.13,4172.82,4293.85,4614.87,4371.79,1
4632.82,4226.15,4248.21,4212.82,4292.82,4623.08,4392.31,1
4602.05,4201.54,4221.03,4200,4271.28,4600.51,4343.59,0
4609.23,4188.72,4216.41,4178.46,4266.15,4563.59,4333.33,0
4604.62,4202.05,4225.13,4201.03,4278.97,4589.74,4337.44,0
4630.26,4206.67,4234.87,4214.36,4283.08,4622.56,4371.79,1
4610.26,4199.49,4229.23,4165.13,4265.13,4601.54,4365.13,0
4612.82,4196.92,4234.87,4208.21,4284.1,4624.1,4351.28,0
4634.87,4233.33,4277.95,4227.18,4270.26,4649.74,4377.44,1
4617.95,4216.41,4235.38,4199.49,4276.92,4577.95,4326.15,0
4630.26,4201.03,4237.44,4211.79,4284.62,4622.05,4369.74,0
4608.21,4193.85,4228.21,4215.38,4283.59,4613.33,4367.18,0
4616.92,4210.77,4233.85,4227.69,4288.72,4625.64,4367.18,1
4619.49,4218.46,4237.95,4217.44,4270.77,4623.08,4355.38,0
4628.72,4215.9,4225.13,4198.97,4274.36,4611.79,4375.9,0
4608.72,4214.36,4230.26,4195.38,4271.28,4611.79,4346.67,0
4620.51,4200,4236.41,4189.23,4269.23,4595.38,4348.72,1
4598.46,4187.69,4226.15,4193.33,4264.62,4592.31,4351.28,0
4605.64,4197.95,4215.38,4197.44,4270.77,4609.23,4334.36,1
4593.33,4191.79,4234.87,4194.36,4272.82,4590.26,4363.59,0
4599.49,4181.54,4225.13,4194.36,4256.92,4594.87,4351.28,0
4621.03,4206.67,4240.51,4227.18,4296.92,4620.51,4422.56,0
4631.28,4209.23,4238.97,4215.38,4299.49,4603.08,4362.05,0
4610.26,4206.67,4248.72,4213.85,4276.92,4612.82,4358.46,0
4607.69,4186.67,4234.36,4191.79,4259.49,4589.74,4358.97,0
4638.97,4227.69,4252.82,4207.69,4285.64,4590.77,4343.08,1
4599.49,4188.72,4228.21,4190.26,4259.49,4582.05,4337.44,0
4605.64,4200,4226.67,4191.79,4274.87,4610.77,4341.54,1
4706.67,4280.51,4329.23,4308.72,4383.08,4704.1,4455.9,0
4616.92,4207.69,4234.87,4206.67,4274.87,4593.33,4353.33,0
4604.62,4188.72,4207.69,4181.03,4257.44,4577.44,4348.21,1
4611.28,4205.64,4255.9,4215.9,4293.85,4607.69,4370.77,0
4608.21,4195.9,4226.15,4189.74,4283.08,4604.62,4360.51,0
4630.77,4216.92,4224.62,4174.87,4297.95,4617.44,4375.9,1
4600,4205.64,4236.41,4249.74,4316.41,4688.21,4457.95,0
4594.36,4185.64,4206.67,4185.64,4265.13,4577.44,4348.21,1
4590.77,4190.77,4223.59,4190.26,4285.64,4608.21,4376.92,1
4620,4197.44,4213.85,4209.23,4277.44,4590.77,4340,1
4618.97,4205.13,4235.38,4222.05,4283.59,4639.49,4381.54,1
4612.31,4196.92,4230.26,4193.85,4268.21,4580,4313.33,0
4614.87,4199.49,4218.97,4210.26,4271.28,4592.31,4348.21,1
4613.85,4212.31,4232.82,4206.67,4270.26,4610.77,4355.38,0
4595.38,4197.95,4202.05,4180,4269.74,4562.05,4311.28,0
4591.79,4175.9,4214.36,4189.23,4273.33,4591.28,4339.49,0
4613.85,4175.38,4211.28,4169.74,4249.23,4539.49,4285.13,0
4634.36,4229.74,4243.08,4213.33,4273.85,4593.85,4353.33,0
4614.36,4192.82,4228.21,4173.85,4265.13,4592.31,4340,0
4611.79,4184.62,4223.08,4197.95,4258.97,4591.79,4355.38,1
4595.9,4188.21,4209.74,4162.56,4262.05,4547.18,4310.26,1
4601.54,4199.49,4221.03,4199.49,4278.97,4606.15,4350.26,0
4631.79,4218.46,4257.95,4245.13,4322.56,4708.72,4503.08,0
4608.21,4180.51,4201.03,4166.67,4246.15,4552.82,4294.87,0
4615.9,4205.13,4241.54,4209.74,4290.77,4627.69,4358.46,0
4619.49,4207.69,4227.18,4171.79,4266.67,4594.87,4347.69,0
4590.26,4177.44,4235.9,4193.33,4254.87,4598.97,4360,0
4610.77,4193.85,4237.95,4168.21,4268.72,4601.03,4358.46,0
4625.64,4216.41,4241.03,4243.59,4311.28,4657.44,4371.79,1
4611.28,4203.08,4241.54,4189.74,4279.49,4624.62,4381.03,1
4599.49,4186.67,4215.9,4196.92,4272.31,4613.85,4350.77,1
4602.05,4181.54,4232.82,4197.44,4269.23,4588.21,4362.56,1
4631.79,4225.13,4256.92,4217.95,4291.28,4625.13,4385.13,1
4591.79,4188.21,4221.54,4193.33,4269.74,4600,4347.69,1
4613.33,4211.28,4223.59,4202.56,4265.13,4594.36,4345.13,0
4600,4198.46,4216.41,4177.44,4275.38,4548.21,4307.18,0
4592.82,4178.46,4235.9,4190.26,4284.62,4599.49,4383.08,0
4593.33,4190.26,4237.44,4208.72,4284.1,4628.72,4363.59,0
4610.26,4195.38,4226.15,4181.03,4293.33,4629.74,4405.64,1
4594.87,4176.41,4180,4130.26,4242.56,4485.13,4275.38,0
4614.87,4188.72,4223.59,4190.77,4255.9,4588.21,4356.41,1
4601.54,4187.18,4221.03,4192.82,4269.23,4596.41,4329.74,0
4627.18,4208.21,4226.15,4192.31,4262.05,4589.74,4298.97,0
4631.79,4215.9,4263.08,4238.97,4308.21,4633.85,4387.18,0
4591.28,4187.18,4235.9,4225.13,4297.95,4651.28,4456.41,1
4604.1,4177.44,4220.51,4209.23,4271.28,4619.49,4346.67,1
4621.54,4207.18,4238.46,4177.95,4273.85,4606.67,4365.64,0
4586.67,4181.03,4249.74,4241.03,4314.87,4670.77,4480.51,0
4616.41,4204.62,4233.85,4214.36,4275.38,4602.05,4348.21,1
4605.13,4200.51,4213.33,4189.74,4272.82,4591.28,4361.03,1
4586.67,4172.31,4217.44,4196.92,4274.87,4601.54,4383.08,1
4625.64,4216.92,4240.51,4196.92,4276.92,4613.85,4349.74,0
4643.59,4221.54,4264.1,4243.08,4308.72,4638.97,4400,0
4622.56,4197.95,4235.9,4205.64,4280,4611.28,4378.97,1
4614.36,4207.18,4222.05,4222.56,4303.08,4624.62,4387.18,1
4620,4187.69,4216.92,4193.33,4252.82,4591.79,4334.87,0
4637.95,4211.79,4258.46,4241.03,4306.67,4638.97,4400.51,0
4608.21,4201.03,4232.31,4208.72,4288.72,4616.41,4382.56,1
4607.69,4197.95,4225.64,4183.08,4268.21,4608.21,4348.72,0
4606.15,4193.85,4221.54,4201.03,4276.41,4604.1,4365.13,1
4608.21,4199.49,4250.26,4208.21,4286.15,4608.21,4385.13,0
4604.1,4181.03,4193.33,4161.54,4234.36,4561.03,4301.54,0
4594.36,4181.54,4215.38,4183.59,4245.64,4605.64,4329.23,1
4590.26,4188.21,4228.72,4197.95,4271.79,4608.21,4384.1,1
4612.82,4190.77,4232.31,4201.54,4278.46,4591.28,4344.1,1
4601.54,4177.44,4191.28,4166.67,4254.36,4559.49,4303.59,0
4717.95,4301.03,4345.13,4321.54,4383.59,4711.79,4458.46,0
4612.31,4188.21,4212.82,4185.64,4266.15,4587.69,4339.49,0
4625.13,4210.77,4218.46,4174.36,4270.26,4547.69,4307.69,1
4614.36,4186.67,4221.03,4193.85,4288.72,4627.18,4422.05,0
4607.18,4190.26,4229.74,4202.56,4266.15,4585.64,4347.18,1
4646.15,4225.64,4248.21,4194.36,4304.1,4610.26,4378.97,1
4612.31,4197.44,4221.54,4204.1,4271.28,4592.31,4345.64,0
4604.1,4182.56,4223.59,4190.26,4274.36,4580.51,4373.33,0
4613.33,4194.36,4224.62,4186.15,4252.82,4574.36,4343.08,1
4621.54,4193.85,4227.69,4186.15,4257.95,4556.92,4307.69,0
4660.51,4245.13,4282.05,4264.1,4330.26,4660,4409.74,0
4619.49,4192.31,4221.03,4192.82,4273.85,4598.46,4363.08,1
4607.69,4198.97,4214.36,4200.51,4277.44,4591.28,4351.28,1
