AF3,F7,F3,F4,F8,AF4,label
4292.31,4048.21,4259.49,4277.44,4611.79,4354.36,0
4307.69,4024.1,4277.44,4286.15,4621.54,4372.82,1
4384.62,3994.36,4295.9,4314.87,4662.56,4449.74,1
4281.54,3991.28,4264.1,4269.23,4605.64,4343.59,0
4286.67,3957.44,4263.08,4276.92,4597.95,4347.69,0
4286.15,4041.03,4277.95,4294.36,4637.95,4352.31,1
4284.62,3988.21,4248.72,4270.26,4596.41,4344.62,1
4322.05,4025.13,4281.03,4297.95,4640,4388.72,1
4267.69,3975.9,4264.1,4268.72,4594.36,4333.85,0
4276.41,4004.62,4246.67,4257.44,4551.28,4323.59,0
4288.21,3998.97,4264.1,4265.13,4600.51,4345.13,0
4307.18,4015.9,4264.1,4288.21,4611.79,4375.38,0
4307.18,4003.08,4269.23,4298.97,4621.54,4368.21,1
4278.97,4000.51,4250.77,4262.05,4603.08,4343.59,0
4281.54,3991.79,4261.54,4265.64,4589.23,4344.1,1
4302.05,3999.49,4261.03,4270.77,4606.15,4361.03,1
4289.74,3989.23,4263.08,4263.59,4600.51,4353.33,0
4267.18,3974.87,4236.41,4246.15,4573.33,4328.21,0
4285.13,3978.97,4262.56,4281.03,4590.77,4347.18,1
4266.67,3975.9,4248.21,4251.28,4577.95,4338.97,0
4271.79,3984.62,4245.13,4265.13,4617.44,4348.72,0
4276.41,4007.18,4234.36,4262.05,4556.41,4318.97,0
4321.54,4018.46,4276.41,4281.03,4620.51,4378.97,1
4291.79,4010.26,4247.18,4275.38,4596.92,4345.64,0
4497.44,4145.64,4337.44,4333.85,4696.41,4534.36,0
4305.64,3998.46,4251.79,4268.72,4610.77,4370.26,0
4453.33,4114.36,4318.97,4309.74,4656.92,4489.23,0
4274.87,3967.18,4249.74,4256.41,4582.05,4335.9,0
4284.1,4005.13,4248.72,4271.28,4592.31,4340.51,1
4387.18,4071.79,4342.05,4350.26,4707.18,4464.1,1
4299.49,4014.87,4278.97,4284.1,4606.15,4357.95,0
4277.44,3981.54,4260.51,4266.67,4603.59,4335.9,0
4294.87,3990.77,4266.67,4292.31,4597.44,4373.33,0
4324.62,4044.1,4280.51,4298.97,4629.23,4376.92,1
4277.95,3933.33,4245.64,4298.97,4642.05,4359.49,1
4321.54,3984.1,4280.51,4302.56,4670.26,4423.08,1
4292.82,3996.41,4278.46,4273.85,4598.97,4357.95,0
4298.46,4051.28,4251.28,4274.87,4612.82,4364.1,0
4290.26,4040,4254.87,4265.13,4591.28,4341.54,0
4322.05,4014.36,4278.97,4283.08,4621.54,4398.97,1
4290.26,4000.51,4252.82,4274.87,4593.33,4361.03,1
4287.69,3997.95,4256.92,4276.41,4624.62,4365.64,1
4266.15,4038.97,4282.05,4290.26,4601.54,4322.56,1
4289.23,4006.15,4264.62,4269.23,4595.9,4350.77,0
4313.85,4012.31,4268.21,4286.15,4627.18,4376.92,1
4289.23,3997.95,4263.59,4275.38,4607.69,4347.69,1
4364.62,4038.97,4295.9,4303.08,4649.23,4408.21,1
4274.36,3978.46,4245.13,4249.74,4585.64,4342.05,0
4292.31,3996.92,4267.69,4279.49,4601.03,4357.44,1
4297.95,4042.56,4277.44,4293.85,4603.59,4350.26,0
4280.51,3970.26,4249.74,4267.69,4578.97,4341.03,0
4277.95,3973.85,4252.31,4276.41,4586.15,4351.28,0
4315.9,4017.95,4289.74,4295.38,4617.95,4381.03,0
4435.9,4111.79,4312.31,4304.1,4672.82,4471.79,1
4271.79,4024.1,4246.67,4255.38,4559.49,4322.05,0
4244.62,3993.33,4222.05,4244.1,4548.72,4294.87,0
4292.31,4002.56,4264.1,4277.95,4586.67,4354.36,1
4371.28,4045.64,4296.41,4308.21,4611.28,4424.62,0
4357.44,4063.59,4277.95,4288.72,4612.31,4404.62,0
4296.92,4010.26,4258.46,4277.44,4598.46,4356.92,0
4288.72,3990.26,4249.74,4270.77,4611.28,4356.41,0
4269.74,3998.46,4247.18,4256.92,4604.1,4324.62,0
4416.41,4084.1,4296.92,4313.33,4638.97,4468.72,0
4275.38,3979.49,4247.18,4270.77,4582.56,4338.46,1
4262.56,4027.18,4265.13,4274.87,4611.28,4325.64,0
4275.9,4007.18,4263.08,4274.87,4616.92,4335.38,1
4280,4010.26,4266.15,4276.41,4598.46,4344.1,0
4290.77,4000.51,4262.05,4281.03,4611.28,4358.46,0
4286.67,3998.97,4267.18,4278.97,4578.46,4348.21,1
4312.31,3972.82,4258.46,4302.05,4620,4381.03,1
4296.41,4004.62,4261.03,4277.95,4604.62,4349.74,0
4301.54,4004.62,4263.59,4273.33,4594.36,4354.36,1
4289.23,4008.21,4252.31,4266.67,4587.18,4352.82,1
4268.21,3976.41,4247.69,4264.1,4574.87,4330.77,1
4308.72,3981.03,4262.05,4293.85,4614.87,4371.79,1
4332.82,4028.72,4283.08,4292.82,4623.08,4392.31,1
4296.92,4057.44,4266.15,4271.28,4600.51,4343.59,0
4271.28,4007.18,4248.72,4266.15,4563.59,4333.33,0
4282.56,3983.59,4256.41,4278.97,4589.74,4337.44,0
4287.18,3972.82,4264.62,4283.08,4622.56,4371.79,1
4298.46,4006.15,4264.62,4265.13,4601.54,4365.13,0
4289.23,3998.46,4264.1,4284.1,4624.1,4351.28,0
4301.54,4011.79,4244.62,4270.26,4649.74,4377.44,1
4274.36,4028.72,4248.21,4276.92,4577.95,4326.15,0
4306.67,4007.18,4271.28,4284.62,4622.05,4369.74,0
4300.51,4023.08,4278.46,4283.59,4613.33,4367.18,0
4319.49,4041.54,4261.03,4288.72,4625.64,4367.18,1
4288.21,3989.23,4248.21,4270.77,4623.08,4355.38,0
4312.82,4006.15,4260.51,4274.36,4611.79,4375.9,0
4302.05,4044.62,4261.03,4271.28,4611.79,4346.67,0
4287.18,4017.44,4263.59,4269.23,4595.38,4348.72,1
4285.13,3988.21,4265.13,4264.62,4592.31,4351.28,0
4277.44,3991.79,4246.15,4270.77,4609.23,4334.36,1
4298.97,4008.72,4241.54,4272.82,4590.26,4363.59,0
4275.9,3979.49,4250.26,4256.92,4594.87,4351.28,0
4384.62,4074.87,4281.54,4296.92,4620.51,4422.56,0
4300,3994.36,4280.51,4299.49,4603.08,4362.05,0
4297.95,3989.74,4264.62,4276.92,4612.82,4358.46,0
4298.97,4012.31,4268.21,4259.49,4589.74,4358.97,0
4278.46,3967.69,4264.1,4285.64,4590.77,4343.08,1
4289.23,3970.26,4243.08,4259.49,4582.05,4337.44,0
4283.59,3966.67,4248.72,4274.87,4610.77,4341.54,1
4391.28,4080,4358.97,4383.08,4704.1,4455.9,0
4307.18,4009.74,4268.21,4274.87,4593.33,4353.33,0
4292.31,4000.51,4247.18,4257.44,4577.44,4348.21,1
4322.56,4027.18,4268.72,4293.85,4607.69,4370.77,0
4297.95,4013.33,4270.26,4283.08,4604.62,4360.51,0
4316.92,3983.08,4261.54,4297.95,4617.44,4375.9,1
4394.36,4021.54,4296.92,4316.41,4688.21,4457.95,0
4289.74,4000.51,4249.23,4265.13,4577.44,4348.21,1
4338.97,4029.74,4282.56,4285.64,4608.21,4376.92,1
4270.26,3976.92,4256.92,4277.44,4590.77,4340,1
4278.46,3952.31,4247.18,4283.59,4639.49,4381.54,1
4265.64,3996.41,4247.18,4268.21,4580,4313.33,0
4280.51,3980,4251.79,4271.28,4592.31,4348.21,1
4295.9,3994.36,4255.9,4270.26,4610.77,4355.38,0
4268.21,4012.82,4258.97,4269.74,4562.05,4311.28,0
4291.28,4016.41,4262.56,4273.33,4591.28,4339.49,0
4234.87,3998.46,4234.87,4249.23,4539.49,4285.13,0
4303.08,4008.72,4273.33,4273.85,4593.85,4353.33,0
4286.67,3998.46,4265.64,4265.13,4592.31,4340,0
4296.41,4024.62,4267.18,4258.97,4591.79,4355.38,1
4271.79,4027.18,4258.97,4262.05,4547.18,4310.26,1
4288.72,4047.69,4263.59,4278.97,4606.15,4350.26,0
4443.59,4098.97,4310.77,4322.56,4708.72,4503.08,0
4245.13,4032.82,4227.69,4246.15,4552.82,4294.87,0
4297.95,4004.1,4264.1,4290.77,4627.69,4358.46,0
4286.15,3983.08,4242.05,4266.67,4594.87,4347.69,0
4291.79,3993.33,4262.56,4254.87,4598.97,4360,0
4297.95,4001.03,4266.67,4268.72,4601.03,4358.46,0
4290.26,3954.36,4257.44,4311.28,4657.44,4371.79,1
4307.18,3966.67,4237.44,4279.49,4624.62,4381.03,1
4284.1,4018.97,4264.62,4272.31,4613.85,4350.77,1
4284.1,4006.15,4250.77,4269.23,4588.21,4362.56,1
4322.56,4023.08,4277.44,4291.28,4625.13,4385.13,1
4268.21,3979.49,4253.33,4269.74,4600,4347.69,1
4286.15,3951.79,4247.18,4265.13,4594.36,4345.13,0
4257.95,4020.51,4255.9,4275.38,4548.21,4307.18,0
4308.21,4004.62,4243.59,4284.62,4599.49,4383.08,0
4297.44,4001.54,4265.13,4284.1,4628.72,4363.59,0
4335.9,3983.08,4272.31,4293.33,4629.74,4405.64,1
4240.51,4032.31,4246.67,4242.56,4485.13,4275.38,0
4297.95,4018.97,4262.05,4255.9,4588.21,4356.41,1
4267.18,3976.41,4244.1,4269.23,4596.41,4329.74,0
4258.97,4045.13,4261.54,4262.05,4589.74,4298.97,0
4329.74,4018.46,4291.79,4308.21,4633.85,4387.18,0
4389.23,4006.67,4262.56,4297.95,4651.28,4456.41,1
4290.26,3986.15,4260.51,4271.28,4619.49,4346.67,1
4298.46,4002.56,4262.05,4273.85,4606.67,4365.64,0
4430.77,4067.69,4291.79,4314.87,4670.77,4480.51,0
4277.44,3990.26,4247.18,4275.38,4602.05,4348.21,1
4297.95,4009.74,4256.92,4272.82,4591.28,4361.03,1
4326.15,3956.92,4248.72,4274.87,4601.54,4383.08,1
4298.97,4049.74,4263.08,4276.92,4613.85,4349.74,0
4342.56,4041.54,4301.03,4308.72,4638.97,4400,0
4318.46,4014.36,4269.74,4280,4611.28,4378.97,1
4324.62,4044.1,4278.97,4303.08,4624.62,4387.18,1
4281.03,4011.28,4238.46,4252.82,4591.79,4334.87,0
4335.9,4032.31,4294.36,4306.67,4638.97,4400.51,0
4333.85,4022.05,4280,4288.72,4616.41,4382.56,1
4296.92,3994.36,4251.28,4268.21,4608.21,4348.72,0
4311.79,4016.92,4280,4276.41,4604.1,4365.13,1
4316.41,4028.21,4261.03,4286.15,4608.21,4385.13,0
4249.23,4026.67,4232.82,4234.36,4561.03,4301.54,0
4271.79,4019.49,4235.38,4245.64,4605.64,4329.23,1
4318.46,4012.31,4245.64,4271.79,4608.21,4384.1,1
4289.23,4011.79,4266.67,4278.46,4591.28,4344.1,1
4263.08,4046.15,4241.54,4254.36,4559.49,4303.59,0
4405.64,4104.1,4371.79,4383.59,4711.79,4458.46,0
4284.62,3975.9,4269.74,4266.15,4587.69,4339.49,0
4263.08,4010.26,4264.1,4270.26,4547.69,4307.69,1
4385.13,4089.23,4279.49,4288.72,4627.18,4422.05,0
4286.67,3990.26,4248.72,4266.15,4585.64,4347.18,1
4336.41,4012.82,4297.95,4304.1,4610.26,4378.97,1
4292.31,3983.59,4263.08,4271.28,4592.31,4345.64,0
4295.38,3999.49,4251.28,4274.36,4580.51,4373.33,0
4272.31,3989.74,4235.38,4252.82,4574.36,4343.08,1
4247.69,4012.31,4249.23,4257.95,4556.92,4307.69,0
4360,4059.49,4356.41,4330.26,4660,4409.74,0
4313.33,4019.49,4265.13,4273.85,4598.46,4363.08,1
4282.56,3994.87,4261.54,4277.44,4591.28,4351.28,1
4328.21,4022.05,4272.31,4277.44,4611.28,4376.41,1
4269.23,3977.95,4251.79,4272.31,4588.72,4340,1
4295.38,4018.97,4260,4270.26,4597.44,4340.51,1
4304.62,4017.44,4250.26,4282.56,4607.18,4363.59,0
4293.85,3996.92,4250.26,4286.67,4624.62,4369.74,0
4297.44,4003.08,4273.85,4284.62,4610.26,4362.56,0
4286.67,3984.62,4263.59,4261.03,4589.74,4344.62,0
4281.03,4033.33,4269.74,4284.1,4626.67,4349.74,0
4284.62,4008.21,4274.87,4282.05,4589.74,4350.26,0
4282.05,3988.21,4252.31,4264.1,4592.31,4342.56,0
4384.1,4082.05,4347.69,4363.08,4696.92,4441.54,0
4280.51,3985.64,4249.74,4264.1,4588.72,4339.49,1
4293.33,4007.18,4269.23,4274.87,4603.08,4358.97,1
4288.21,4023.59,4263.59,4275.9,4603.08,4343.59,0
4261.03,3969.74,4245.13,4253.33,4564.1,4323.59,0
4296.92,4015.38,4261.54,4278.97,4600.51,4368.72,0
4276.92,4026.67,4245.64,4263.59,4595.9,4340,0
4280,4018.97,4245.13,4272.82,4604.1,4346.15,0
4324.1,4025.64,4295.38,4301.03,4629.23,4382.56,1
4294.87,3991.79,4252.31,4271.28,4599.49,4355.38,1
4410.26,4012.31,4278.46,4315.9,4687.69,4481.03,1
4329.74,4031.28,4281.03,4280,4603.59,4384.1,0
4269.74,3975.9,4250.77,4269.23,4592.31,4341.54,0
4372.31,4099.49,4265.64,4286.67,4618.97,4410.77,0
4420.51,4075.9,4295.38,4313.33,4675.9,4488.72,0
4301.03,3995.38,4264.1,4292.82,4625.64,4364.62,0
4301.03,4021.03,4262.05,4272.31,4602.56,4345.64,1
4308.21,4027.18,4264.1,4286.67,4617.95,4372.82,0
4361.03,4049.23,4352.31,4315.9,4660,4415.9,0
4288.72,4010.26,4266.67,4280,4597.44,4343.08,0
4273.33,4014.36,4249.23,4264.1,4613.85,4327.69,1
4313.85,4007.69,4280.51,4286.15,4602.05,4368.21,1
4282.56,3984.1,4251.28,4272.82,4575.38,4340,1
4310.77,4043.59,4281.03,4272.82,4600,4348.72,1
4298.46,4002.05,4262.05,4278.97,4598.46,4351.79,0
4311.28,4012.82,4265.13,4284.62,4620.51,4365.13,1
4294.36,3994.87,4247.69,4275.9,4613.33,4351.79,0
4297.95,3994.36,4248.72,4274.36,4596.41,4363.08,1
4328.72,4019.49,4297.44,4306.67,4625.64,4390.77,1
4282.05,3962.56,4247.18,4283.08,4592.31,4348.21,1
4288.21,4006.67,4245.13,4283.59,4625.64,4350.26,1
4282.05,4005.13,4259.49,4268.72,4594.36,4327.69,0
4280.51,3997.95,4252.31,4273.85,4578.97,4324.1,0
4295.38,3972.31,4264.1,4285.13,4591.79,4355.9,1
4286.67,3999.49,4263.59,4275.38,4613.85,4334.36,1
4306.67,4017.95,4250.77,4287.69,4635.38,4381.54,0
4276.92,3994.87,4263.08,4262.05,4522.56,4313.33,1
4314.36,4021.03,4254.87,4284.62,4605.64,4375.9,0
4298.97,4010.77,4269.23,4280.51,4616.92,4352.82,0
4314.87,3971.79,4261.54,4294.36,4671.28,4420,1
4276.41,3968.72,4260,4273.85,4581.03,4334.36,1
4266.67,3986.67,4247.18,4270.77,4591.79,4344.62,1
4247.18,4021.03,4249.23,4249.74,4500,4290.77,0
4362.05,4061.54,4262.56,4277.95,4620.51,4407.69,0
4289.23,3991.79,4255.38,4274.87,4575.9,4348.21,1
4305.64,4036.41,4263.08,4263.08,4583.08,4352.31,0
4299.49,3993.85,4264.1,4277.95,4595.38,4349.74,1
4284.1,3982.56,4264.62,4258.97,4594.36,4354.87,0
4293.33,4012.82,4247.18,4272.31,4598.97,4349.23,0
