FC5,T7,P7,O1,2,P8,T8,FC6,label
4122.05,4343.59,4617.44,4050.26,4609.23,4199.49,4229.74,4210.77,1
4118.46,4350.26,4626.67,4066.67,4628.72,4225.64,4255.38,4183.59,1
4107.69,4340,4625.13,4059.49,4619.49,4207.18,4235.38,4208.72,0
4118.46,4326.67,4598.46,4060,4586.15,4178.97,4214.36,4142.05,0
4119.49,4355.9,4629.23,4105.13,4601.54,4202.56,4229.23,4196.41,0
4125.64,4345.13,4628.21,4079.49,4631.79,4218.97,4248.72,4216.92,0
4143.08,4377.95,4648.21,4102.56,4644.62,4228.21,4255.9,4229.23,1
4134.36,4349.23,4629.74,4087.69,4627.69,4209.74,4236.41,4213.85,0
4135.9,4377.95,4646.15,4091.79,4625.64,4203.08,4222.56,4189.23,0
4134.87,4330.77,4609.23,4058.46,4613.33,4196.92,4242.56,4237.95,0
4107.69,4328.21,4593.33,4069.23,4610.77,4191.28,4215.38,4204.1,0
4121.03,4325.64,4595.9,4081.54,4613.33,4200,4226.15,4206.67,1
4151.28,4333.33,4609.23,4063.08,4601.54,4184.1,4188.72,4165.64,1
4135.9,4363.08,4649.74,4083.59,4644.1,4225.13,4257.44,4237.44,0
4147.18,4383.08,4649.23,4096.92,4648.72,4229.23,4254.36,4211.28,1
4121.03,4337.44,4620,4046.67,4600,4194.87,4241.54,4174.87,0
4092.31,4331.28,4598.97,4090.26,4620,4211.28,4250.26,4244.1,1
4125.64,4332.82,4615.9,4065.13,4607.69,4196.41,4233.85,4191.79,0
4107.18,4335.9,4614.87,4053.33,4597.44,4186.67,4219.49,4196.92,1
4086.67,4330.77,4608.21,4070.77,4615.38,4200,4241.03,4200.51,1
4109.74,4337.44,4615.38,4057.44,4614.87,4197.44,4223.59,4202.56,1
4124.62,4334.87,4585.64,4076.41,4593.33,4180.51,4201.54,4186.15,0
4154.36,4365.13,4628.21,4083.59,4617.44,4225.64,4285.64,4256.41,0
4121.03,4331.79,4616.92,4071.28,4592.82,4188.21,4216.41,4186.67,0
4120,4328.21,4620,4079.49,4618.46,4199.49,4227.18,4185.13,0
4119.49,4332.31,4626.15,4072.31,4609.74,4202.05,4242.56,4208.21,0
4121.54,4335.9,4609.23,4068.72,4614.87,4202.56,4228.72,4185.64,0
4153.33,4334.87,4614.87,4067.18,4607.69,4201.54,4226.67,4220,0
4117.44,4350.26,4631.79,4086.15,4627.69,4203.08,4230.77,4211.79,1
4100,4329.74,4603.08,4039.49,4600,4190.77,4219.49,4179.49,0
4118.46,4344.62,4609.74,4067.69,4598.97,4186.67,4221.54,4190.77,1
4139.49,4358.46,4633.85,4101.03,4624.1,4210.77,4250.77,4219.49,1
4109.23,4348.72,4624.62,4095.38,4590.77,4197.44,4223.59,4182.56,0
4132.31,4353.85,4631.28,4067.69,4612.31,4213.33,4244.1,4204.1,0
4102.56,4328.72,4616.41,4047.18,4606.15,4178.97,4218.97,4197.95,0
4123.08,4329.74,4615.38,4051.28,4599.49,4183.08,4212.82,4193.85,1
4121.54,4335.9,4629.74,4087.69,4632.31,4203.59,4227.69,4195.9,0
4108.72,4357.44,4640,4095.38,4635.9,4230.26,4267.18,4228.21,1
4117.95,4337.44,4614.87,4045.13,4586.15,4176.92,4222.56,4198.97,1
4121.54,4338.46,4615.38,4065.64,4629.23,4200.51,4237.95,4187.69,0
4103.08,4348.72,4631.79,4117.44,4643.08,4231.79,4240,4211.79,1
4120,4347.18,4621.03,4065.13,4621.03,4207.18,4233.33,4218.97,0
4135.38,4343.59,4623.59,4046.15,4601.54,4193.33,4227.18,4204.62,1
4140.51,4337.44,4614.87,4058.97,4616.92,4198.46,4223.59,4205.13,1
4107.18,4332.31,4617.95,4048.21,4608.21,4195.9,4223.08,4188.72,1
4150.26,4320.51,4598.97,4058.46,4615.9,4196.41,4227.18,4212.82,0
4107.69,4336.92,4637.95,4088.72,4641.03,4221.54,4246.15,4222.56,0
4086.15,4324.1,4607.69,4103.08,4634.87,4229.23,4246.67,4242.05,1
4140,4346.15,4600,4086.15,4623.59,4207.18,4231.28,4207.18,0
4110.26,4337.95,4616.41,4072.31,4600,4190.77,4200.51,4177.44,0
4111.79,4328.72,4613.85,4049.23,4613.85,4188.21,4231.28,4203.08,0
4118.97,4341.54,4619.49,4050.26,4601.54,4197.44,4228.21,4199.49,1
4155.38,4340,4612.31,4049.23,4606.67,4201.54,4233.33,4217.95,1
4140.51,4347.69,4606.67,4095.38,4625.13,4206.67,4252.82,4222.56,0
4114.36,4346.67,4613.85,4049.23,4607.69,4183.08,4222.56,4185.64,1
4089.74,4331.79,4604.62,4070.77,4607.18,4188.21,4221.54,4191.28,1
4123.59,4331.28,4606.15,4035.38,4596.92,4184.62,4220.51,4195.38,1
4121.54,4324.62,4597.95,4050.26,4627.69,4208.21,4214.87,4200.51,1
4136.41,4326.67,4614.87,4041.54,4595.9,4191.28,4224.1,4187.18,1
4133.85,4356.92,4623.59,4075.9,4613.85,4198.46,4218.97,4188.72,0
4120.51,4329.23,4596.41,4042.56,4617.44,4194.87,4215.9,4203.08,1
4103.08,4331.28,4609.23,4055.9,4608.72,4192.82,4210.26,4170.26,0
4106.15,4346.15,4630.77,4104.62,4629.74,4211.79,4243.08,4224.62,1
4108.21,4340.51,4629.74,4067.69,4616.41,4215.38,4233.33,4206.67,0
4109.23,4337.44,4607.18,4069.74,4591.79,4177.95,4212.31,4188.72,1
4126.67,4336.92,4631.79,4087.18,4624.1,4197.44,4236.41,4188.21,1
4150.77,4356.92,4642.56,4069.23,4615.38,4212.31,4226.15,4205.64,0
4116.92,4342.05,4615.38,4044.62,4592.31,4183.08,4219.49,4190.26,1
4162.56,4348.72,4607.69,4062.56,4601.03,4192.82,4211.28,4202.05,1
4114.87,4330.77,4610.26,4054.36,4623.59,4202.05,4233.33,4202.56,1
4149.74,4321.54,4588.72,4071.28,4611.79,4213.33,4248.21,4277.44,0
4122.05,4343.59,4623.08,4068.21,4613.33,4202.56,4221.54,4190.26,0
4110.26,4338.46,4614.36,4057.95,4620,4205.64,4233.33,4202.56,1
4106.15,4329.74,4615.9,4078.46,4635.38,4206.15,4223.59,4197.44,0
4092.31,4333.33,4604.1,4050.77,4604.62,4182.05,4214.87,4190.26,1
4142.05,4356.92,4625.64,4082.05,4630.77,4202.05,4235.9,4208.72,0
4121.03,4333.33,4607.69,4054.36,4612.82,4193.33,4227.69,4204.62,1
4110.77,4330.77,4615.38,4050.77,4612.82,4194.36,4239.49,4189.23,1
4116.92,4327.18,4601.03,4040,4610.26,4193.33,4205.13,4182.56,1
4114.87,4343.59,4628.21,4077.95,4610.77,4199.49,4219.49,4208.21,0
4120.51,4353.33,4631.79,4086.67,4644.1,4214.36,4248.21,4219.49,1
4122.05,4349.74,4630.26,4073.85,4610.77,4185.13,4222.05,4190.77,0
4134.87,4351.79,4621.54,4061.54,4624.1,4202.05,4238.97,4215.38,1
4130.26,4380,4648.72,4093.85,4654.87,4242.56,4256.41,4222.05,1
4103.08,4331.28,4613.85,4072.82,4615.38,4192.82,4226.15,4204.1,0
4103.59,4326.67,4609.74,4050.26,4612.31,4199.49,4222.56,4166.15,0
4136.41,4336.41,4623.59,4073.33,4592.31,4197.44,4233.33,4200,0
4126.15,4354.36,4623.08,4113.33,4621.03,4221.03,4238.46,4229.74,1
4115.38,4333.85,4616.92,4096.92,4622.56,4217.44,4236.41,4243.59,1
4197.95,4404.1,4671.79,4133.85,4676.41,4258.97,4282.56,4224.62,1
4138.97,4348.21,4621.03,4068.21,4599.49,4185.64,4247.69,4240,0
4158.46,4347.69,4600,4069.23,4585.13,4185.13,4252.82,4240,1
4100.51,4334.36,4601.54,4061.54,4605.13,4185.13,4222.56,4191.79,1
4094.36,4340,4624.1,4098.46,4597.95,4198.97,4224.62,4192.82,0
4145.13,4356.92,4619.49,4062.05,4611.28,4191.79,4215.38,4205.13,0
4127.18,4347.69,4621.03,4072.31,4602.56,4207.69,4257.44,4215.38,0
4122.05,4321.54,4616.41,4056.41,4605.13,4183.08,4213.33,4198.46,0
4138.97,4369.74,4654.87,4109.23,4670.77,4253.33,4269.74,4225.64,1
4106.15,4325.13,4617.44,4059.49,4615.38,4202.05,4228.72,4198.46,0
4112.82,4335.38,4607.18,4055.38,4615.38,4200.51,4223.08,4214.87,1
4152.82,4354.87,4635.38,4078.46,4612.82,4203.08,4266.67,4246.15,0
4120,4338.46,4627.18,4067.69,4599.49,4191.79,4209.74,4174.36,0
4089.23,4330.26,4618.97,4076.41,4601.03,4193.85,4216.41,4174.87,0
4120.51,4345.13,4610.77,4075.38,4592.82,4171.79,4218.46,4190.26,1
4135.38,4328.21,4623.59,4081.54,4626.67,4213.85,4238.97,4196.92,1
4121.54,4341.03,4624.62,4058.46,4615.38,4209.74,4226.67,4200.51,0
4153.85,4359.49,4631.28,4063.59,4625.13,4215.38,4257.44,4226.15,0
4138.97,4350.77,4630.26,4074.87,4607.18,4214.87,4236.92,4206.67,0
4106.15,4337.44,4613.85,4053.33,4594.87,4177.95,4190.26,4160,0
4120,4347.69,4625.64,4118.46,4610.26,4212.31,4230.26,4214.36,1
4119.49,4343.59,4623.59,4073.85,4608.21,4198.97,4230.77,4194.87,0
4125.64,4337.44,4607.18,4049.23,4605.13,4199.49,4220.51,4207.18,0
4114.87,4341.54,4625.13,4084.62,4607.18,4201.03,4218.46,4207.18,0
4136.92,4361.03,4648.21,4088.21,4637.44,4208.72,4255.38,4236.41,0
4117.44,4347.69,4599.49,4071.79,4589.23,4191.79,4237.44,4215.38,1
4121.03,4348.72,4627.69,4081.03,4612.82,4192.82,4214.36,4196.41,0
4105.13,4329.74,4631.79,4085.13,4615.9,4195.38,4218.46,4181.03,0
4121.03,4353.85,4630.26,4084.62,4643.59,4213.33,4250.26,4222.05,1
4118.97,4335.38,4609.23,4041.54,4601.03,4192.82,4220,4193.33,1
4123.08,4346.15,4626.15,4116.92,4626.15,4228.72,4243.08,4221.03,1
4104.62,4332.82,4615.9,4052.31,4598.46,4193.85,4224.62,4198.46,0
4112.31,4342.05,4615.38,4041.03,4592.31,4157.95,4200,4164.62,0
4100,4346.67,4615.9,4066.67,4615.38,4182.56,4214.87,4175.38,0
4154.36,4329.23,4610.26,4070.77,4606.67,4197.44,4225.64,4210.26,0
4107.18,4332.31,4603.59,4050.77,4616.41,4199.49,4212.31,4202.56,1
4098.97,4335.38,4603.08,4069.23,4609.74,4210.77,4245.64,4205.13,1
4114.36,4334.36,4602.56,4044.62,4610.26,4185.13,4221.54,4202.05,1
4153.33,4334.87,4589.23,4062.56,4604.62,4180,4207.18,4219.49,0
4131.79,4327.69,4613.85,4055.38,4615.38,4207.69,4244.62,4243.08,1
4130.77,4342.56,4620,4084.1,4609.23,4196.92,4244.1,4207.18,1
4123.08,4332.31,4618.97,4044.62,4616.41,4197.44,4211.28,4192.31,0
4109.23,4330.26,4600.51,4052.31,4619.49,4190.26,4225.64,4182.05,1
4113.85,4332.82,4616.41,4069.23,4625.13,4204.62,4225.64,4196.92,0
4110.77,4342.56,4621.03,4053.85,4610.77,4201.03,4231.79,4172.31,0
4121.54,4339.49,4630.26,4082.56,4600,4200,4258.97,4206.15,0
4125.64,4343.08,4623.59,4076.41,4611.79,4207.18,4228.72,4209.23,0
4136.41,4345.13,4624.62,4054.36,4613.33,4206.67,4241.54,4219.49,1
4132.31,4344.62,4621.54,4082.56,4607.69,4199.49,4258.97,4230.26,1
4112.31,4345.64,4619.49,4072.82,4618.46,4190.77,4224.1,4201.54,0
4113.85,4341.54,4626.67,4064.62,4615.9,4213.33,4233.33,4205.13,0
4142.05,4384.1,4656.92,4102.56,4651.79,4226.15,4255.38,4217.95,1
4093.85,4330.77,4613.33,4050.26,4614.36,4197.95,4236.41,4190.77,1
4139.49,4342.05,4626.67,4061.03,4631.28,4230.77,4258.97,4235.38,1
4112.82,4345.13,4621.03,4056.92,4617.95,4201.54,4225.13,4181.54,0
4095.38,4318.97,4614.87,4086.15,4602.05,4181.54,4200,4163.59,0
4122.05,4352.82,4621.54,4068.72,4609.23,4194.87,4217.95,4197.95,0
4132.82,4340.51,4579.49,4093.33,4605.64,4194.36,4228.72,4204.62,0
4111.28,4343.59,4622.56,4101.54,4623.59,4225.13,4237.44,4183.08,1
4112.82,4360.51,4635.38,4087.69,4627.18,4206.67,4235.38,4192.31,0
4128.72,4329.23,4619.49,4061.54,4618.46,4207.18,4222.56,4196.92,1
4120,4348.21,4623.59,4077.44,4627.69,4206.15,4239.49,4193.33,1
4103.59,4330.26,4612.82,4050.26,4616.41,4197.95,4238.97,4182.05,0
4091.79,4329.74,4613.85,4036.92,4607.18,4183.59,4205.64,4189.74,0
4132.82,4334.87,4610.26,4046.15,4623.08,4199.49,4236.92,4207.69,1
4093.85,4330.26,4616.41,4042.05,4613.33,4189.74,4216.92,4191.28,0
4089.74,4341.03,4625.13,4067.69,4622.05,4207.69,4233.85,4211.28,0
4120,4354.36,4625.13,4101.54,4601.03,4198.46,4203.08,4179.49,0
4121.03,4336.41,4614.87,4060.51,4610.26,4208.72,4228.72,4213.33,1
4120.51,4318.97,4585.13,4085.64,4609.23,4193.33,4228.72,4175.9,0
4193.85,4357.95,4616.92,4077.95,4618.46,4200.51,4235.38,4254.87,0
4121.54,4331.79,4584.62,4094.87,4620,4200,4222.05,4196.92,0
4171.79,4348.72,4614.36,4066.15,4608.72,4182.05,4213.85,4222.05,0
4096.92,4324.1,4615.9,4045.13,4609.23,4184.1,4212.82,4197.44,0
4117.95,4336.92,4617.44,4075.38,4590.26,4186.67,4231.79,4190.26,1
4187.18,4426.15,4703.08,4146.67,4674.87,4261.54,4304.62,4299.49,1
4120,4342.56,4620.51,4068.72,4604.1,4200.51,4227.18,4208.21,0
4123.59,4331.28,4615.9,4054.87,4605.13,4194.87,4221.03,4200,0
4118.46,4328.72,4623.59,4077.95,4613.85,4200.51,4230.26,4204.1,0
4125.64,4354.87,4629.23,4112.82,4628.21,4230.77,4252.31,4229.23,1
4085.13,4330.26,4616.41,4107.69,4643.08,4227.69,4244.62,4233.33,1
4119.49,4357.95,4640,4094.87,4654.36,4227.18,4264.1,4237.44,1
4124.62,4343.08,4605.13,4044.1,4608.72,4192.82,4233.33,4197.44,0
4122.56,4347.18,4628.21,4077.44,4612.82,4206.15,4224.1,4207.18,0
4107.18,4353.33,4623.59,4065.13,4597.44,4196.92,4216.92,4184.62,0
4128.72,4348.21,4625.64,4092.31,4616.92,4196.92,4229.23,4218.97,1
4101.54,4327.69,4602.05,4087.69,4612.82,4192.31,4221.03,4195.9,1
4115.38,4340,4607.18,4067.69,4592.31,4180.51,4218.97,4192.82,1
4151.79,4382.05,4662.05,4114.36,4664.1,4233.33,4251.79,4202.56,1
4121.03,4327.18,4614.87,4067.69,4614.87,4196.92,4225.64,4192.31,0
4125.13,4327.18,4627.69,4068.72,4622.56,4210.77,4234.87,4205.64,1
4129.23,4335.38,4627.69,4099.49,4625.64,4201.03,4236.41,4208.72,1
4154.36,4358.97,4626.67,4070.26,4619.49,4224.1,4247.18,4224.1,1
4097.95,4327.69,4604.1,4052.31,4606.67,4185.13,4229.74,4188.21,0
4098.97,4332.31,4621.54,4064.62,4624.1,4211.28,4242.05,4200.51,1
4155.38,4372.31,4649.74,4097.44,4647.18,4209.74,4221.03,4209.74,0
4108.21,4325.13,4609.23,4066.67,4603.08,4194.87,4225.13,4185.13,0
4102.05,4321.54,4619.49,4086.67,4630.26,4215.38,4242.56,4197.44,0
4133.85,4351.28,4636.41,4085.13,4627.18,4199.49,4241.54,4224.1,0
4169.23,4348.21,4608.72,4053.85,4585.13,4186.15,4219.49,4236.41,1
4138.97,4328.21,4600,4065.64,4600,4167.69,4181.03,4166.15,0
4106.15,4345.13,4625.64,4103.08,4596.92,4190.77,4201.03,4167.18,0
4121.03,4332.82,4610.77,4048.72,4612.31,4185.13,4230.77,4197.95,1
4138.46,4335.9,4614.87,4073.85,4624.62,4203.59,4233.33,4222.56,0
4140,4329.23,4585.13,4074.36,4601.03,4184.62,4214.87,4197.44,0
4114.36,4349.23,4572.31,4099.49,4604.1,4187.69,4239.49,4205.13,0
4100.51,4346.15,4624.1,4064.1,4613.33,4213.85,4254.36,4213.85,0
4120.51,4343.08,4618.46,4077.95,4626.15,4211.79,4231.79,4193.33,0
4164.1,4321.03,4600.51,4061.03,4612.82,4188.21,4215.9,4216.92,0
4106.67,4331.28,4616.41,4059.49,4627.18,4197.95,4233.85,4208.21,1
4137.44,4378.46,4649.23,4085.64,4628.21,4205.13,4231.28,4208.72,0
4107.18,4340,4618.46,4053.33,4604.62,4193.85,4225.13,4194.36,1
4136.92,4346.67,4622.05,4071.28,4612.82,4193.33,4218.46,4196.92,0
4115.38,4333.85,4615.9,4054.36,4626.67,4209.23,4235.9,4204.1,0
4123.08,4331.79,4611.79,4052.31,4606.67,4177.95,4226.15,4196.92,1
4085.64,4332.31,4623.59,4108.21,4642.05,4214.87,4227.69,4180.51,1
4138.46,4331.28,4609.74,4072.82,4596.41,4193.33,4231.28,4201.54,0
4108.72,4338.46,4621.03,4070.26,4609.74,4204.62,4223.59,4174.87,1
4109.74,4338.97,4615.38,4054.87,4611.79,4197.95,4233.85,4196.92,1
4111.28,4328.21,4595.9,4039.49,4619.49,4208.72,4215.38,4191.79,1
4091.28,4328.21,4617.95,4102.56,4636.41,4214.36,4225.13,4172.82,1
4135.9,4350.77,4630.26,4083.59,4632.82,4226.15,4248.21,4212.82,1
4129.74,4347.69,4627.69,4071.28,4602.05,4201.54,4221.03,4200,0
4100.51,4322.05,4617.44,4088.21,4609.23,4188.72,4216.41,4178.46,0
4111.28,4328.21,4608.21,4076.41,4604.62,4202.05,4225.13,4201.03,0
4105.13,4355.9,4635.9,4094.36,4630.26,4206.67,4234.87,4214.36,1
4101.54,4333.85,4614.36,4048.21,4610.26,4199.49,4229.23,4165.13,0
4122.05,4329.23,4624.1,4076.41,4612.82,4196.92,4234.87,4208.21,0
4116.41,4362.56,4637.44,4074.36,4634.87,4233.33,4277.95,4227.18,1
4122.56,4354.36,4631.79,4105.13,4617.95,4216.41,4235.38,4199.49,0
4138.46,4355.9,4628.21,4073.33,4630.26,4201.03,4237.44,4211.79,0
4149.23,4348.72,4614.87,4057.44,4608.21,4193.85,4228.21,4215.38,0
4121.54,4352.31,4628.72,4114.87,4616.92,4210.77,4233.85,4227.69,1
4094.87,4346.67,4627.69,4072.82,4619.49,4218.46,4237.95,4217.44,0
4127.69,4341.03,4586.15,4089.74,4628.72,4215.9,4225.13,4198.97,0
4111.28,4353.33,4625.13,4075.38,4608.72,4214.36,4230.26,4195.38,0
4133.33,4363.08,4618.97,4054.87,4620.51,4200,4236.41,4189.23,1
4122.05,4334.36,4602.56,4048.21,4598.46,4187.69,4226.15,4193.33,0
4119.49,4327.69,4622.05,4052.82,4605.64,4197.95,4215.38,4197.44,1
4119.49,4341.54,4624.62,4078.46,4593.33,4191.79,4234.87,4194.36,0
4094.36,4329.23,4589.74,4043.59,4599.49,4181.54,4225.13,4194.36,0
4142.05,4336.92,4615.9,4059.49,4621.03,4206.67,4240.51,4227.18,0
4095.38,4343.08,4620,4087.69,4631.28,4209.23,4238.97,4215.38,0
4107.18,4347.69,4621.54,4065.64,4610.26,4206.67,4248.72,4213.85,0
4106.15,4331.79,4620.51,4060.51,4607.69,4186.67,4234.36,4191.79,0
4109.23,4318.46,4614.36,4061.54,4638.97,4227.69,4252.82,4207.69,1
4103.59,4330.26,4613.85,4059.49,4599.49,4188.72,4228.21,4190.26,0
4107.69,4322.05,4615.9,4045.64,4605.64,4200,4226.67,4191.79,1
4198.46,4421.54,4725.13,4169.74,4706.67,4280.51,4329.23,4308.72,0
4136.41,4346.67,4627.18,4064.62,4616.92,4207.69,4234.87,4206.67,0
4116.41,4322.05,4603.08,4063.59,4604.62,4188.72,4207.69,4181.03,1
4124.62,4353.33,4626.15,4088.72,4611.28,4205.64,4255.9,4215.9,0
4120,4333.33,4616.92,4075.38,4608.21,4195.9,4226.15,4189.74,0
4107.18,4337.44,4621.03,4099.49,4630.77,4216.92,4224.62,4174.87,1
4124.62,4341.03,4601.03,4055.9,4600,4205.64,4236.41,4249.74,0
4121.03,4331.79,4602.05,4063.59,4594.36,4185.64,4206.67,4185.64,1
4137.95,4349.23,4614.36,4064.1,4590.77,4190.77,4223.59,4190.26,1
4109.23,4330.26,4600,4044.1,4620,4197.44,4213.85,4209.23,1
4076.41,4316.41,4601.03,4088.72,4618.97,4205.13,4235.38,4222.05,1
4107.69,4339.49,4622.56,4088.21,4612.31,4196.92,4230.26,4193.85,0
4108.72,4329.74,4596.41,4035.9,4614.87,4199.49,4218.97,4210.26,1
4102.56,4348.72,4629.74,4056.41,4613.85,4212.31,4232.82,4206.67,0
4141.54,4355.38,4624.62,4105.13,4595.38,4197.95,4202.05,4180,0
4123.08,4329.74,4619.49,4067.18,4591.79,4175.9,4214.36,4189.23,0
4097.44,4342.05,4617.44,4055.38,4613.85,4175.38,4211.28,4169.74,0
4143.59,4354.87,4636.92,4075.38,4634.36,4229.74,4243.08,4213.33,0
4118.97,4335.9,4615.38,4054.36,4614.36,4192.82,4228.21,4173.85,0
4134.87,4347.18,4615.9,4074.87,4611.79,4184.62,4223.08,4197.95,1
4153.33,4341.54,4614.36,4063.59,4595.9,4188.21,4209.74,4162.56,1
4130.26,4345.13,4624.62,4068.72,4601.54,4199.49,4221.03,4199.49,0
4163.08,4356.92,4615.38,4071.79,4631.79,4218.46,4257.95,4245.13,0
4112.82,4347.18,4617.44,4054.36,4608.21,4180.51,4201.03,4166.67,0
4119.49,4333.85,4632.82,4077.44,4615.9,4205.13,4241.54,4209.74,0
4100,4338.46,4624.1,4070.26,4619.49,4207.69,4227.18,4171.79,0
4109.74,4331.28,4597.44,4032.82,4590.26,4177.44,4235.9,4193.33,0
4107.69,4337.95,4617.44,4061.03,4610.77,4193.85,4237.95,4168.21,0
4102.05,4330.26,4610.26,4095.9,4625.64,4216.41,4241.03,4243.59,1
4113.33,4329.23,4614.87,4080.51,4611.28,4203.08,4241.54,4189.74,1
4124.1,4339.49,4613.33,4037.44,4599.49,4186.67,4215.9,4196.92,1
4106.15,4335.38,4613.85,4051.79,4602.05,4181.54,4232.82,4197.44,1
4122.05,4343.59,4628.21,4086.15,4631.79,4225.13,4256.92,4217.95,1
4100.51,4332.31,4601.54,4062.05,4591.79,4188.21,4221.54,4193.33,1
