AF3,F7,F3,FC5,T7,P7,O1,label
4304.62,4014.87,4277.44,4141.03,4349.74,4632.82,4074.36,0
4255.38,4018.97,4229.23,4120,4343.08,4601.54,4059.49,0
4232.31,3992.82,4231.79,4092.82,4345.13,4615.9,4054.36,0
4275.38,3989.74,4261.03,4089.74,4338.46,4621.54,4088.72,0
4229.23,4017.44,4241.03,4127.18,4340,4616.41,4053.85,0
4287.69,3997.44,4260,4121.03,4333.33,4616.41,4088.72,1
4295.9,4011.28,4249.23,4126.67,4331.28,4603.08,4059.49,1
4267.18,3997.95,4248.72,4120.51,4347.69,4617.95,4074.87,0
4298.97,3993.85,4265.64,4123.59,4346.67,4626.15,4075.38,0
4296.41,4003.59,4251.28,4118.97,4333.85,4620,4052.82,0
4297.44,3986.67,4257.95,4108.72,4343.08,4617.44,4046.67,1
4382.05,4063.08,4329.23,4188.21,4412.82,4688.72,4153.33,1
4284.1,4039.49,4252.82,4117.95,4347.69,4623.08,4076.41,0
4282.05,4003.59,4244.62,4107.18,4341.54,4621.54,4061.54,0
4276.92,3963.08,4231.28,4105.13,4320.51,4591.28,4073.33,1
4293.33,3982.56,4253.33,4108.72,4344.1,4622.05,4052.82,1
4330.26,4009.74,4304.1,4142.56,4371.79,4656.41,4113.33,1
4291.79,4046.67,4260,4109.74,4337.95,4619.49,4067.69,0
4306.67,4010.77,4270.77,4142.56,4350.77,4631.79,4073.33,0
4291.28,3997.44,4262.05,4118.46,4329.23,4617.44,4053.33,0
4293.85,4054.87,4261.54,4122.05,4360,4629.74,4067.69,0
4321.54,4040.51,4266.15,4123.59,4352.31,4624.1,4106.15,1
4283.59,3989.74,4264.1,4110.77,4331.28,4619.49,4061.54,0
4314.36,4062.56,4263.08,4129.74,4352.82,4633.33,4077.44,0
4270.26,4021.54,4264.62,4133.33,4343.08,4637.44,4128.72,1
4272.82,3978.97,4246.15,4101.54,4328.72,4601.03,4054.87,1
4266.15,3937.44,4228.21,4081.54,4327.18,4601.54,4064.62,1
4328.21,4059.49,4290.26,4162.05,4373.85,4649.74,4102.05,0
4276.92,3987.69,4247.18,4110.26,4327.18,4606.15,4047.18,1
4298.97,4020,4270.26,4136.92,4332.82,4615.38,4044.1,1
4277.95,4043.08,4255.9,4117.44,4345.13,4620.51,4070.26,0
4362.56,3983.08,4273.33,4115.38,4336.41,4624.62,4104.62,1
4296.92,4000.51,4281.54,4125.13,4347.69,4622.05,4070.77,0
4295.38,4044.62,4273.85,4120.51,4337.95,4621.54,4065.13,0
4291.28,4038.97,4262.05,4135.38,4349.23,4628.21,4075.9,0
4280,4013.33,4264.1,4128.21,4335.9,4624.1,4087.18,1
4284.62,3980.51,4239.49,4100.51,4339.49,4617.44,4056.41,0
4315.38,4008.21,4277.95,4122.05,4343.59,4617.44,4050.26,1
4309.74,4015.9,4254.87,4118.46,4350.26,4626.67,4066.67,1
4295.38,3989.74,4262.05,4107.69,4340,4625.13,4059.49,0
4294.36,4002.56,4250.26,4118.46,4326.67,4598.46,4060,0
4278.97,4029.74,4245.13,4119.49,4355.9,4629.23,4105.13,0
4297.95,4004.1,4266.67,4125.64,4345.13,4628.21,4079.49,0
4320,4031.28,4277.95,4143.08,4377.95,4648.21,4102.56,1
4294.36,3992.82,4260,4134.36,4349.23,4629.74,4087.69,0
4249.74,4036.92,4247.18,4135.9,4377.95,4646.15,4091.79,0
4400,4049.74,4278.46,4134.87,4330.77,4609.23,4058.46,0
4289.74,3992.82,4235.38,4107.69,4328.21,4593.33,4069.23,0
4315.9,4013.85,4269.74,4121.03,4325.64,4595.9,4081.54,1
4332.82,4047.69,4287.69,4151.28,4333.33,4609.23,4063.08,1
4315.9,4007.18,4267.18,4135.9,4363.08,4649.74,4083.59,0
4282.56,4039.49,4278.97,4147.18,4383.08,4649.23,4096.92,1
4295.9,4001.03,4274.87,4121.03,4337.44,4620,4046.67,0
4312.31,3973.33,4262.56,4092.31,4331.28,4598.97,4090.26,1
4298.46,4008.21,4266.67,4125.64,4332.82,4615.9,4065.13,0
4308.72,4010.26,4252.31,4107.18,4335.9,4614.87,4053.33,1
4288.72,3952.31,4243.59,4086.67,4330.77,4608.21,4070.77,1
4290.77,4007.69,4249.74,4109.74,4337.44,4615.38,4057.44,1
4293.85,4024.62,4248.72,4124.62,4334.87,4585.64,4076.41,0
4429.23,4065.13,4296.92,4154.36,4365.13,4628.21,4083.59,0
4295.9,4009.23,4264.62,4121.03,4331.79,4616.92,4071.28,0
4292.31,4005.64,4246.67,4120,4328.21,4620,4079.49,0
4284.1,3997.44,4261.54,4119.49,4332.31,4626.15,4072.31,0
4290.77,4020,4261.03,4121.54,4335.9,4609.23,4068.72,0
4370.77,4058.46,4279.49,4153.33,4334.87,4614.87,4067.18,0
4297.44,3988.72,4266.15,4117.44,4350.26,4631.79,4086.15,1
4277.95,3993.85,4246.15,4100,4329.74,4603.08,4039.49,0
4282.56,3998.46,4258.46,4118.46,4344.62,4609.74,4067.69,1
4316.92,4011.28,4276.41,4139.49,4358.46,4633.85,4101.03,1
4263.08,4011.28,4231.28,4109.23,4348.72,4624.62,4095.38,0
4297.44,4044.1,4270.26,4132.31,4353.85,4631.28,4067.69,0
4270.26,3978.97,4246.67,4102.56,4328.72,4616.41,4047.18,0
4286.15,3994.87,4249.74,4123.08,4329.74,4615.38,4051.28,1
4288.21,4008.21,4268.21,4121.54,4335.9,4629.74,4087.69,0
4281.54,3988.21,4245.13,4108.72,4357.44,4640,4095.38,1
4277.44,4027.18,4251.28,4117.95,4337.44,4614.87,4045.13,1
4302.56,4006.15,4280.51,4121.54,4338.46,4615.38,4065.64,0
4275.9,4014.36,4258.46,4103.08,4348.72,4631.79,4117.44,1
4292.82,4001.03,4277.95,4120,4347.18,4621.03,4065.13,0
4290.77,4030.77,4270.77,4135.38,4343.59,4623.59,4046.15,1
4326.15,4052.31,4284.62,4140.51,4337.44,4614.87,4058.97,1
4275.9,4008.72,4255.9,4107.18,4332.31,4617.95,4048.21,1
4406.67,4076.41,4295.9,4150.26,4320.51,4598.97,4058.46,0
4286.67,3962.05,4266.15,4107.69,4336.92,4637.95,4088.72,0
4278.46,3932.82,4249.23,4086.15,4324.1,4607.69,4103.08,1
4305.64,4003.08,4278.97,4140,4346.15,4600,4086.15,0
4242.56,3982.05,4238.97,4110.26,4337.95,4616.41,4072.31,0
4277.95,3967.18,4262.56,4111.79,4328.72,4613.85,4049.23,0
4275.38,4029.23,4258.46,4118.97,4341.54,4619.49,4050.26,1
4305.64,4018.46,4279.49,4155.38,4340,4612.31,4049.23,1
4317.44,4021.54,4281.54,4140.51,4347.69,4606.67,4095.38,0
4278.97,4000.51,4256.92,4114.36,4346.67,4613.85,4049.23,1
4286.67,3946.15,4237.44,4089.74,4331.79,4604.62,4070.77,1
4284.1,4022.56,4256.41,4123.59,4331.28,4606.15,4035.38,1
4272.82,3978.46,4256.41,4121.54,4324.62,4597.95,4050.26,1
4274.87,3994.36,4250.26,4136.41,4326.67,4614.87,4041.54,1
4282.05,4012.82,4262.05,4133.85,4356.92,4623.59,4075.9,0
4275.9,3982.05,4256.92,4120.51,4329.23,4596.41,4042.56,1
4261.54,3985.13,4251.79,4103.08,4331.28,4609.23,4055.9,0
4315.38,3982.05,4271.28,4106.15,4346.15,4630.77,4104.62,1
4285.13,3940.51,4249.23,4108.21,4340.51,4629.74,4067.69,0
4276.92,3990.77,4253.33,4109.23,4337.44,4607.18,4069.74,1
4277.44,4002.56,4266.15,4126.67,4336.92,4631.79,4087.18,1
4302.56,4020.51,4261.54,4150.77,4356.92,4642.56,4069.23,0
4272.31,4018.97,4254.87,4116.92,4342.05,4615.38,4044.62,1
4406.67,4128.21,4296.92,4162.56,4348.72,4607.69,4062.56,1
4274.87,3970.77,4247.69,4114.87,4330.77,4610.26,4054.36,1
4454.36,4060,4311.28,4149.74,4321.54,4588.72,4071.28,0
4275.38,3998.97,4253.33,4122.05,4343.59,4623.08,4068.21,0
4294.36,4011.28,4260.51,4110.26,4338.46,4614.36,4057.95,1
4277.95,3973.85,4263.59,4106.15,4329.74,4615.9,4078.46,0
4278.97,3988.21,4247.69,4092.31,4333.33,4604.1,4050.77,1
4303.08,4002.05,4278.46,4142.05,4356.92,4625.64,4082.05,0
4295.9,4006.67,4265.64,4121.03,4333.33,4607.69,4054.36,1
4291.28,4022.56,4261.54,4110.77,4330.77,4615.38,4050.77,1
4271.28,3990.26,4258.97,4116.92,4327.18,4601.03,4040,1
4305.13,4040.51,4268.72,4114.87,4343.59,4628.21,4077.95,0
4298.97,3970.77,4266.67,4120.51,4353.33,4631.79,4086.67,1
4273.85,3975.9,4245.64,4122.05,4349.74,4630.26,4073.85,0
4307.18,4007.69,4268.72,4134.87,4351.79,4621.54,4061.54,1
4313.33,4022.05,4270.26,4130.26,4380,4648.72,4093.85,1
4291.28,3988.72,4275.9,4103.08,4331.28,4613.85,4072.82,0
4271.28,3982.56,4245.64,4103.59,4326.67,4609.74,4050.26,0
4303.59,3991.28,4268.72,4136.41,4336.41,4623.59,4073.33,0
4322.05,4038.97,4276.41,4126.15,4354.36,4623.08,4113.33,1
4356.41,3983.59,4280.51,4115.38,4333.85,4616.92,4096.92,1
4395.38,4074.36,4332.31,4197.95,4404.1,4671.79,4133.85,1
4425.13,4069.74,4291.79,4138.97,4348.21,4621.03,4068.21,0
4415.38,4048.21,4281.54,4158.46,4347.69,4600,4069.23,1
4291.28,3964.62,4247.69,4100.51,4334.36,4601.54,4061.54,1
4256.92,3990.26,4230.26,4094.36,4340,4624.1,4098.46,0
4326.15,4058.97,4247.18,4145.13,4356.92,4619.49,4062.05,0
4318.97,4019.49,4250.26,4127.18,4347.69,4621.03,4072.31,0
4283.59,3989.23,4252.82,4122.05,4321.54,4616.41,4056.41,0
4306.15,4024.1,4288.21,4138.97,4369.74,4654.87,4109.23,1
4276.41,3991.79,4254.87,4106.15,4325.13,4617.44,4059.49,0
4291.79,4001.03,4250.26,4112.82,4335.38,4607.18,4055.38,1
4444.62,4091.28,4301.03,4152.82,4354.87,4635.38,4078.46,0
4293.85,4041.03,4263.59,4120,4338.46,4627.18,4067.69,0
4240.51,3974.36,4229.74,4089.23,4330.26,4618.97,4076.41,0
4329.74,3981.54,4246.15,4120.51,4345.13,4610.77,4075.38,1
4324.62,4020,4278.46,4135.38,4328.21,4623.59,4081.54,1
4291.79,3983.59,4247.69,4121.54,4341.03,4624.62,4058.46,0
4321.03,4010.77,4289.23,4153.85,4359.49,4631.28,4063.59,0
4304.1,4061.54,4276.92,4138.97,4350.77,4630.26,4074.87,0
4229.74,4024.62,4213.33,4106.15,4337.44,4613.85,4053.33,0
4317.44,4040,4262.05,4120,4347.69,4625.64,4118.46,1
4294.87,4050.26,4262.05,4119.49,4343.59,4623.59,4073.85,0
4281.54,4001.03,4268.72,4125.64,4337.44,4607.18,4049.23,0
4302.56,4038.46,4264.1,4114.87,4341.54,4625.13,4084.62,0
4333.33,4032.82,4302.05,4136.92,4361.03,4648.21,4088.21,0
4371.79,3993.33,4263.08,4117.44,4347.69,4599.49,4071.79,1
4289.74,4014.36,4253.85,4121.03,4348.72,4627.69,4081.03,0
4253.33,3976.41,4240.51,4105.13,4329.74,4631.79,4085.13,0
4304.1,3971.79,4275.38,4121.03,4353.85,4630.26,4084.62,1
4266.67,4016.41,4252.31,4118.97,4335.38,4609.23,4041.54,1
4315.38,4028.21,4269.74,4123.08,4346.15,4626.15,4116.92,1
4283.59,3970.77,4243.08,4104.62,4332.82,4615.9,4052.31,0
4243.08,4003.59,4241.03,4112.31,4342.05,4615.38,4041.03,0
4246.67,4006.15,4216.92,4100,4346.67,4615.9,4066.67,0
4370.77,4057.44,4285.64,4154.36,4329.23,4610.26,4070.77,0
4273.85,3974.87,4254.87,4107.18,4332.31,4603.59,4050.77,1
4316.41,3963.59,4252.82,4098.97,4335.38,4603.08,4069.23,1
4295.9,4006.15,4266.67,4114.36,4334.36,4602.56,4044.62,1
4416.92,4106.67,4261.03,4153.33,4334.87,4589.23,4062.56,0
4382.05,4033.33,4278.46,4131.79,4327.69,4613.85,4055.38,1
4301.03,4016.92,4267.18,4130.77,4342.56,4620,4084.1,1
4287.69,3994.87,4265.64,4123.08,4332.31,4618.97,4044.62,0
4302.56,3996.92,4261.54,4109.23,4330.26,4600.51,4052.31,1
4263.08,3992.31,4249.23,4113.85,4332.82,4616.41,4069.23,0
4290.26,3984.62,4233.85,4110.77,4342.56,4621.03,4053.85,0
4305.64,4015.9,4242.05,4121.54,4339.49,4630.26,4082.56,0
4292.31,4048.21,4259.49,4125.64,4343.08,4623.59,4076.41,0
4307.69,4024.1,4277.44,4136.41,4345.13,4624.62,4054.36,1
4384.62,3994.36,4295.9,4132.31,4344.62,4621.54,4082.56,1
4281.54,3991.28,4264.1,4112.31,4345.64,4619.49,4072.82,0
4286.67,3957.44,4263.08,4113.85,4341.54,4626.67,4064.62,0
4286.15,4041.03,4277.95,4142.05,4384.1,4656.92,4102.56,1
4284.62,3988.21,4248.72,4093.85,4330.77,4613.33,4050.26,1
4322.05,4025.13,4281.03,4139.49,4342.05,4626.67,4061.03,1
4267.69,3975.9,4264.1,4112.82,4345.13,4621.03,4056.92,0
4276.41,4004.62,4246.67,4095.38,4318.97,4614.87,4086.15,0
4288.21,3998.97,4264.1,4122.05,4352.82,4621.54,4068.72,0
4307.18,4015.9,4264.1,4132.82,4340.51,4579.49,4093.33,0
4307.18,4003.08,4269.23,4111.28,4343.59,4622.56,4101.54,1
4278.97,4000.51,4250.77,4112.82,4360.51,4635.38,4087.69,0
4281.54,3991.79,4261.54,4128.72,4329.23,4619.49,4061.54,1
4302.05,3999.49,4261.03,4120,4348.21,4623.59,4077.44,1
4289.74,3989.23,4263.08,4103.59,4330.26,4612.82,4050.26,0
4267.18,3974.87,4236.41,4091.79,4329.74,4613.85,4036.92,0
4285.13,3978.97,4262.56,4132.82,4334.87,4610.26,4046.15,1
4266.67,3975.9,4248.21,4093.85,4330.26,4616.41,4042.05,0
4271.79,3984.62,4245.13,4089.74,4341.03,4625.13,4067.69,0
4276.41,4007.18,4234.36,4120,4354.36,4625.13,4101.54,0
4321.54,4018.46,4276.41,4121.03,4336.41,4614.87,4060.51,1
4291.79,4010.26,4247.18,4120.51,4318.97,4585.13,4085.64,0
4497.44,4145.64,4337.44,4193.85,4357.95,4616.92,4077.95,0
4305.64,3998.46,4251.79,4121.54,4331.79,4584.62,4094.87,0
4453.33,4114.36,4318.97,4171.79,4348.72,4614.36,4066.15,0
4274.87,3967.18,4249.74,4096.92,4324.1,4615.9,4045.13,0
4284.1,4005.13,4248.72,4117.95,4336.92,4617.44,4075.38,1
4387.18,4071.79,4342.05,4187.18,4426.15,4703.08,4146.67,1
4299.49,4014.87,4278.97,4120,4342.56,4620.51,4068.72,0
4277.44,3981.54,4260.51,4123.59,4331.28,4615.9,4054.87,0
4294.87,3990.77,4266.67,4118.46,4328.72,4623.59,4077.95,0
4324.62,4044.1,4280.51,4125.64,4354.87,4629.23,4112.82,1
4277.95,3933.33,4245.64,4085.13,4330.26,4616.41,4107.69,1
4321.54,3984.1,4280.51,4119.49,4357.95,4640,4094.87,1
4292.82,3996.41,4278.46,4124.62,4343.08,4605.13,4044.1,0
4298.46,4051.28,4251.28,4122.56,4347.18,4628.21,4077.44,0
4290.26,4040,4254.87,4107.18,4353.33,4623.59,4065.13,0
4322.05,4014.36,4278.97,4128.72,4348.21,4625.64,4092.31,1
4290.26,4000.51,4252.82,4101.54,4327.69,4602.05,4087.69,1
4287.69,3997.95,4256.92,4115.38,4340,4607.18,4067.69,1
4266.15,4038.97,4282.05,4151.79,4382.05,4662.05,4114.36,1
4289.23,4006.15,4264.62,4121.03,4327.18,4614.87,4067.69,0
4313.85,4012.31,4268.21,4125.13,4327.18,4627.69,4068.72,1
4289.23,3997.95,4263.59,4129.23,4335.38,4627.69,4099.49,1
4364.62,4038.97,4295.9,4154.36,4358.97,4626.67,4070.26,1
4274.36,3978.46,4245.13,4097.95,4327.69,4604.1,4052.31,0
4292.31,3996.92,4267.69,4098.97,4332.31,4621.54,4064.62,1
4297.95,4042.56,4277.44,4155.38,4372.31,4649.74,4097.44,0
4280.51,3970.26,4249.74,4108.21,4325.13,4609.23,4066.67,0
4277.95,3973.85,4252.31,4102.05,4321.54,4619.49,4086.67,0
4315.9,4017.95,4289.74,4133.85,4351.28,4636.41,4085.13,0
4435.9,4111.79,4312.31,4169.23,4348.21,4608.72,4053.85,1
4271.79,4024.1,4246.67,4138.97,4328.21,4600,4065.64,0
4244.62,3993.33,4222.05,4106.15,4345.13,4625.64,4103.08,0
4292.31,4002.56,4264.1,4121.03,4332.82,4610.77,4048.72,1
4371.28,4045.64,4296.41,4138.46,4335.9,4614.87,4073.85,0
4357.44,4063.59,4277.95,4140,4329.23,4585.13,4074.36,0
4296.92,4010.26,4258.46,4114.36,4349.23,4572.31,4099.49,0
4288.72,3990.26,4249.74,4100.51,4346.15,4624.1,4064.1,0
4269.74,3998.46,4247.18,4120.51,4343.08,4618.46,4077.95,0
4416.41,4084.1,4296.92,4164.1,4321.03,4600.51,4061.03,0
4275.38,3979.49,4247.18,4106.67,4331.28,4616.41,4059.49,1
4262.56,4027.18,4265.13,4137.44,4378.46,4649.23,4085.64,0
4275.9,4007.18,4263.08,4107.18,4340,4618.46,4053.33,1
4280,4010.26,4266.15,4136.92,4346.67,4622.05,4071.28,0
4290.77,4000.51,4262.05,4115.38,4333.85,4615.9,4054.36,0
4286.67,3998.97,4267.18,4123.08,4331.79,4611.79,4052.31,1
4312.31,3972.82,4258.46,4085.64,4332.31,4623.59,4108.21,1
4296.41,4004.62,4261.03,4138.46,4331.28,4609.74,4072.82,0
4301.54,4004.62,4263.59,4108.72,4338.46,4621.03,4070.26,1
4289.23,4008.21,4252.31,4109.74,4338.97,4615.38,4054.87,1
4268.21,3976.41,4247.69,4111.28,4328.21,4595.9,4039.49,1
4308.72,3981.03,4262.05,4091.28,4328.21,4617.95,4102.56,1
4332.82,4028.72,4283.08,4135.9,4350.77,4630.26,4083.59,1
4296.92,4057.44,4266.15,4129.74,4347.69,4627.69,4071.28,0
4271.28,4007.18,4248.72,4100.51,4322.05,4617.44,4088.21,0
4282.56,3983.59,4256.41,4111.28,4328.21,4608.21,4076.41,0
4287.18,3972.82,4264.62,4105.13,4355.9,4635.9,4094.36,1
4298.46,4006.15,4264.62,4101.54,4333.85,4614.36,4048.21,0
4289.23,3998.46,4264.1,4122.05,4329.23,4624.1,4076.41,0
4301.54,4011.79,4244.62,4116.41,4362.56,4637.44,4074.36,1
4274.36,4028.72,4248.21,4122.56,4354.36,4631.79,4105.13,0
4306.67,4007.18,4271.28,4138.46,4355.9,4628.21,4073.33,0
4300.51,4023.08,4278.46,4149.23,4348.72,4614.87,4057.44,0
4319.49,4041.54,4261.03,4121.54,4352.31,4628.72,4114.87,1
4288.21,3989.23,4248.21,4094.87,4346.67,4627.69,4072.82,0
4312.82,4006.15,4260.51,4127.69,4341.03,4586.15,4089.74,0
4302.05,4044.62,4261.03,4111.28,4353.33,4625.13,4075.38,0
4287.18,4017.44,4263.59,4133.33,4363.08,4618.97,4054.87,1
4285.13,3988.21,4265.13,4122.05,4334.36,4602.56,4048.21,0
4277.44,3991.79,4246.15,4119.49,4327.69,4622.05,4052.82,1
4298.97,4008.72,4241.54,4119.49,4341.54,4624.62,4078.46,0
4275.9,3979.49,4250.26,4094.36,4329.23,4589.74,4043.59,0
4384.62,4074.87,4281.54,4142.05,4336.92,4615.9,4059.49,0
4300,3994.36,4280.51,4095.38,4343.08,4620,4087.69,0
4297.95,3989.74,4264.62,4107.18,4347.69,4621.54,4065.64,0
4298.97,4012.31,4268.21,4106.15,4331.79,4620.51,4060.51,0
4278.46,3967.69,4264.1,4109.23,4318.46,4614.36,4061.54,1
4289.23,3970.26,4243.08,4103.59,4330.26,4613.85,4059.49,0
4283.59,3966.67,4248.72,4107.69,4322.05,4615.9,4045.64,1
4391.28,4080,4358.97,4198.46,4421.54,4725.13,4169.74,0
4307.18,4009.74,4268.21,4136.41,4346.67,4627.18,4064.62,0
4292.31,4000.51,4247.18,4116.41,4322.05,4603.08,4063.59,1
4322.56,4027.18,4268.72,4124.62,4353.33,4626.15,4088.72,0
4297.95,4013.33,4270.26,4120,4333.33,4616.92,4075.38,0
4316.92,3983.08,4261.54,4107.18,4337.44,4621.03,4099.49,1
4394.36,4021.54,4296.92,4124.62,4341.03,4601.03,4055.9,0
4289.74,4000.51,4249.23,4121.03,4331.79,4602.05,4063.59,1
4338.97,4029.74,4282.56,4137.95,4349.23,4614.36,4064.1,1
4270.26,3976.92,4256.92,4109.23,4330.26,4600,4044.1,1
4278.46,3952.31,4247.18,4076.41,4316.41,4601.03,4088.72,1
4265.64,3996.41,4247.18,4107.69,4339.49,4622.56,4088.21,0
4280.51,3980,4251.79,4108.72,4329.74,4596.41,4035.9,1
4295.9,3994.36,4255.9,4102.56,4348.72,4629.74,4056.41,0
4268.21,4012.82,4258.97,4141.54,4355.38,4624.62,4105.13,0
4291.28,4016.41,4262.56,4123.08,4329.74,4619.49,4067.18,0
4234.87,3998.46,4234.87,4097.44,4342.05,4617.44,4055.38,0
4303.08,4008.72,4273.33,4143.59,4354.87,4636.92,4075.38,0
4286.67,3998.46,4265.64,4118.97,4335.9,4615.38,4054.36,0
4296.41,4024.62,4267.18,4134.87,4347.18,4615.9,4074.87,1
4271.79,4027.18,4258.97,4153.33,4341.54,4614.36,4063.59,1
4288.72,4047.69,4263.59,4130.26,4345.13,4624.62,4068.72,0
4443.59,4098.97,4310.77,4163.08,4356.92,4615.38,4071.79,0
4245.13,4032.82,4227.69,4112.82,4347.18,4617.44,4054.36,0
4297.95,4004.1,4264.1,4119.49,4333.85,4632.82,4077.44,0
4286.15,3983.08,4242.05,4100,4338.46,4624.1,4070.26,0
4291.79,3993.33,4262.56,4109.74,4331.28,4597.44,4032.82,0
4297.95,4001.03,4266.67,4107.69,4337.95,4617.44,4061.03,0
4290.26,3954.36,4257.44,4102.05,4330.26,4610.26,4095.9,1
4307.18,3966.67,4237.44,4113.33,4329.23,4614.87,4080.51,1
4284.1,4018.97,4264.62,4124.1,4339.49,4613.33,4037.44,1
4284.1,4006.15,4250.77,4106.15,4335.38,4613.85,4051.79,1
4322.56,4023.08,4277.44,4122.05,4343.59,4628.21,4086.15,1
4268.21,3979.49,4253.33,4100.51,4332.31,4601.54,4062.05,1
4286.15,3951.79,4247.18,4108.21,4335.38,4631.79,4060,0
4257.95,4020.51,4255.9,4136.41,4348.21,4629.74,4114.36,0
4308.21,4004.62,4243.59,4120.51,4337.95,4620,4079.49,0
4297.44,4001.54,4265.13,4117.95,4332.31,4622.56,4060.51,0
4335.9,3983.08,4272.31,4139.49,4330.26,4614.87,4072.31,1
4240.51,4032.31,4246.67,4133.33,4346.15,4617.95,4053.85,0
4297.95,4018.97,4262.05,4128.21,4345.64,4617.95,4076.92,1
4267.18,3976.41,4244.1,4121.03,4320.51,4618.46,4059.49,0
4258.97,4045.13,4261.54,4148.21,4381.03,4644.62,4094.87,0
4329.74,4018.46,4291.79,4159.49,4358.46,4631.28,4069.74,0
4389.23,4006.67,4262.56,4123.08,4353.33,4609.74,4082.56,1
4290.26,3986.15,4260.51,4118.46,4350.77,4620,4070.77,1
4298.46,4002.56,4262.05,4106.15,4346.15,4625.64,4060,0
4430.77,4067.69,4291.79,4171.79,4344.1,4609.23,4070.26,0
4277.44,3990.26,4247.18,4107.18,4330.26,4602.05,4056.92,1
4297.95,4009.74,4256.92,4131.79,4328.72,4600.51,4063.59,1
4326.15,3956.92,4248.72,4108.21,4340,4601.03,4070.26,1
4298.97,4049.74,4263.08,4123.08,4355.38,4631.28,4072.82,0
4342.56,4041.54,4301.03,4143.59,4364.1,4651.79,4093.33,0
4318.46,4014.36,4269.74,4125.13,4344.1,4622.05,4081.03,1
4324.62,4044.1,4278.97,4121.03,4339.49,4620.51,4108.21,1
4281.03,4011.28,4238.46,4106.67,4325.64,4606.67,4069.74,0
4335.9,4032.31,4294.36,4135.9,4360,4638.97,4087.18,0
4333.85,4022.05,4280,4143.59,4343.08,4615.38,4070.26,1
4296.92,3994.36,4251.28,4124.62,4342.56,4615.9,4048.72,0
4311.79,4016.92,4280,4127.18,4337.95,4617.95,4061.03,1
4316.41,4028.21,4261.03,4123.59,4345.13,4633.33,4090.77,0
4249.23,4026.67,4232.82,4126.67,4336.41,4617.95,4058.97,0
4271.79,4019.49,4235.38,4111.79,4331.28,4611.28,4036.92,1
4318.46,4012.31,4245.64,4119.49,4329.74,4595.38,4061.54,1
4289.23,4011.79,4266.67,4134.36,4343.59,4620.51,4090.26,1
4263.08,4046.15,4241.54,4138.46,4343.59,4616.92,4061.03,0
4405.64,4104.1,4371.79,4230.26,4452.82,4747.69,4166.67,0
4284.62,3975.9,4269.74,4133.33,4344.1,4620,4076.41,0
4263.08,4010.26,4264.1,4122.56,4337.95,4632.31,4122.56,1
4385.13,4089.23,4279.49,4155.9,4334.36,4607.18,4056.92,0
4286.67,3990.26,4248.72,4097.44,4331.79,4604.62,4053.33,1
4336.41,4012.82,4297.95,4148.21,4378.97,4657.95,4104.62,1
4292.31,3983.59,4263.08,4136.41,4340,4631.79,4053.85,0
4295.38,3999.49,4251.28,4102.05,4327.18,4633.33,4098.46,0
4272.31,3989.74,4235.38,4091.28,4330.26,4605.64,4053.85,1
4247.69,4012.31,4249.23,4110.26,4351.28,4625.64,4058.46,0
4360,4059.49,4356.41,4158.97,4378.46,4669.23,4112.31,0
4313.33,4019.49,4265.13,4119.49,4330.77,4615.38,4075.9,1
4282.56,3994.87,4261.54,4105.13,4335.9,4603.08,4040,1
