AF3,F7,F3,FC5,T7,P7,O1,2,P8,T8,FC6,F4,F8,AF4,index
4367.18,3996.92,4294.87,4140.51,4361.54,4639.49,4089.23,4632.82,4236.92,4267.69,4222.05,4309.23,4636.41,4418.97,453
4335.9,4027.69,4310.77,4126.15,4349.23,4647.18,4099.49,4640.0,4205.13,4251.79,4235.38,4306.67,4625.13,4385.64,484
4355.9,4042.56,4317.44,4184.62,4412.82,4682.05,4137.44,4661.03,4248.72,4286.15,4270.77,4316.92,4674.36,4410.26,487
4342.05,3982.05,4261.54,4122.56,4322.05,4598.46,4075.9,4621.03,4202.56,4254.87,4206.67,4301.54,4706.15,4436.41,488
4312.82,3991.28,4277.95,4117.95,4364.62,4638.97,4096.92,4644.1,4230.77,4263.08,4246.67,4305.13,4658.46,4400.51,499
4411.28,4086.15,4340.0,4208.72,4404.62,4669.23,4132.31,4678.46,4268.72,4294.87,4242.05,4344.1,4658.46,4440.51,504
4421.03,4126.67,4297.95,4161.03,4342.56,4602.05,4057.44,4588.72,4184.1,4206.15,4211.28,4302.05,4642.05,4451.79,506
4409.74,4047.69,4290.26,4140.51,4356.41,4620.0,4076.41,4598.46,4190.77,4253.33,4233.33,4309.74,4680.0,4459.49,517
4442.05,4101.54,4309.23,4168.72,4360.0,4619.49,4073.85,4614.36,4196.92,4248.72,4240.51,4319.49,4701.03,4503.08,528
4410.26,4088.21,4309.23,4178.46,4341.54,4621.54,4066.15,4599.49,4186.67,4208.21,4205.13,4297.44,4624.1,4436.41,529
4370.77,4077.95,4327.18,4185.13,4410.77,4702.05,4136.41,4694.36,4270.77,4302.56,4282.56,4345.64,4678.46,4431.79,530
4321.03,4024.1,4278.97,4138.46,4362.05,4634.36,4080.0,4617.95,4203.08,4252.31,4235.38,4285.13,4645.13,4400.51,540
4352.82,3988.21,4289.74,4135.38,4341.54,4624.62,4081.03,4619.49,4212.31,4255.9,4214.87,4300.0,4626.67,4397.95,556
4356.41,3991.79,4298.97,4138.46,4347.18,4621.54,4074.87,4618.97,4210.77,4256.41,4217.44,4304.1,4622.56,4398.46,559
4393.33,3973.85,4267.18,4111.79,4327.18,4602.56,4080.51,4637.44,4241.03,4276.41,4305.13,4341.54,4786.15,4500.0,560
4315.9,4012.31,4280.0,4136.92,4359.49,4636.41,4086.67,4634.36,4232.82,4283.08,4235.9,4291.79,4647.18,4387.18,565
4338.97,4011.28,4297.95,4143.59,4379.49,4657.44,4115.38,4658.46,4240.51,4266.15,4209.23,4311.79,4620.0,4386.67,577
4458.46,4142.56,4301.03,4170.77,4327.69,4583.59,4067.18,4586.67,4169.74,4198.46,4211.79,4304.1,4646.15,4489.74,583
4349.23,4022.05,4309.74,4154.36,4379.49,4658.46,4108.72,4659.49,4238.97,4264.62,4210.77,4308.21,4621.54,4392.31,596
4402.56,4042.56,4286.67,4138.46,4339.49,4612.31,4065.64,4582.05,4186.15,4222.56,4234.87,4302.56,4678.97,4454.87,609
4366.15,3977.95,4294.36,4123.59,4346.67,4629.74,4081.03,4604.62,4205.64,4255.9,4232.31,4310.26,4657.44,4431.79,610
4417.44,4069.23,4291.28,4140.0,4351.79,4626.15,4078.97,4609.23,4202.05,4262.56,4235.38,4311.79,4667.18,4455.38,669
4343.08,4041.03,4321.03,4137.95,4363.59,4650.26,4107.18,4645.13,4217.95,4258.97,4232.31,4303.08,4626.15,4393.33,675
4356.41,4052.31,4278.46,4127.69,4347.69,4624.1,4077.44,4604.1,4204.62,4246.67,4217.95,4298.46,4622.05,4395.9,679
4390.26,4064.1,4341.03,4186.15,4427.18,4699.49,4153.85,4681.03,4275.38,4314.87,4301.54,4350.77,4704.1,4462.56,691
4439.49,4087.69,4293.85,4151.79,4348.21,4630.26,4082.56,4597.44,4195.9,4258.46,4228.21,4310.26,4658.46,4473.85,694
4357.44,4046.15,4364.1,4154.36,4375.38,4669.74,4111.28,4661.03,4243.08,4280.0,4262.05,4326.67,4666.67,4417.44,695
4394.87,4010.26,4276.41,4131.28,4358.97,4608.21,4082.56,4608.72,4204.62,4260.0,4241.03,4302.05,4664.1,4457.95,699
4468.21,4044.62,4305.13,4138.46,4332.82,4593.33,4070.26,4605.13,4210.77,4279.49,4331.28,4367.69,4833.85,4571.79,734
4328.72,3967.18,4260.0,4093.85,4331.79,4601.54,4096.41,4633.85,4228.72,4257.44,4249.23,4302.05,4680.0,4431.79,735
4329.23,4023.08,4299.49,4153.33,4383.59,4658.97,4110.26,4657.44,4235.9,4257.95,4208.21,4302.56,4625.64,4383.08,738
4438.46,4005.64,4287.69,4120.51,4321.03,4589.74,4070.77,4628.21,4224.1,4272.82,4319.49,4356.41,4811.28,4546.67,741
4436.41,4071.79,4300.0,4157.44,4363.08,4625.13,4072.82,4613.33,4212.31,4284.1,4264.1,4329.74,4705.64,4483.59,746
4360.0,4073.33,4286.15,4150.77,4352.82,4632.82,4121.03,4624.1,4218.97,4232.31,4204.62,4298.97,4613.33,4397.95,756
4358.46,3977.95,4278.46,4114.87,4328.72,4617.44,4094.36,4623.59,4209.74,4234.36,4247.69,4320.0,4671.79,4424.62,759
4356.92,3978.97,4276.92,4114.87,4332.31,4619.49,4104.1,4626.67,4212.82,4222.56,4239.49,4315.9,4663.59,4418.46,763
4361.03,3984.1,4264.1,4125.13,4353.33,4608.21,4071.79,4613.33,4211.28,4251.28,4220.51,4295.38,4636.41,4424.1,764
4417.95,4096.41,4297.44,4153.33,4347.18,4615.38,4057.44,4613.85,4192.82,4216.92,4213.85,4294.87,4644.1,4455.9,785
4370.26,4057.95,4282.56,4143.08,4321.03,4602.05,4066.15,4600.0,4200.51,4221.54,4204.1,4280.51,4609.23,4412.31,786
4350.77,4046.15,4349.74,4152.31,4365.13,4667.69,4113.33,4661.03,4237.44,4266.15,4247.18,4313.33,4648.72,4410.26,792
4348.21,3985.13,4270.26,4138.46,4325.13,4617.95,4083.59,4609.23,4196.41,4241.54,4193.85,4302.05,4646.67,4421.03,803
4378.97,4067.18,4275.9,4140.0,4340.51,4620.0,4049.74,4591.79,4182.05,4215.9,4207.18,4277.44,4614.36,4420.51,804
4378.46,4047.18,4328.72,4200.0,4392.31,4665.13,4129.74,4677.44,4256.41,4270.77,4211.28,4331.79,4623.59,4406.15,805
4367.69,4026.15,4281.54,4122.56,4316.41,4601.03,4053.85,4608.21,4189.23,4231.79,4223.59,4298.46,4639.49,4439.49,811
4321.03,4025.13,4272.82,4140.0,4361.03,4635.9,4092.82,4629.74,4222.56,4270.77,4223.59,4295.9,4647.18,4389.74,819
4381.03,4062.05,4289.74,4148.21,4318.97,4613.33,4078.46,4606.15,4201.03,4210.77,4205.64,4300.51,4604.1,4413.85,832
4363.59,4054.36,4361.54,4153.33,4376.92,4672.31,4118.97,4658.97,4237.95,4285.13,4258.46,4327.18,4655.38,4411.28,842
4317.95,4023.59,4276.92,4142.05,4378.46,4651.79,4102.56,4660.51,4245.13,4259.49,4223.08,4302.56,4641.03,4386.15,843
4348.21,4010.26,4278.97,4120.51,4317.44,4601.03,4052.31,4613.33,4206.15,4241.03,4237.44,4312.82,4640.0,4424.62,853
4320.0,4046.67,4291.28,4153.33,4388.21,4660.0,4113.33,4672.82,4254.87,4279.49,4236.92,4305.64,4656.92,4397.44,855
4457.95,4078.46,4309.23,4153.85,4319.49,4574.87,4058.97,4590.77,4183.08,4216.92,4251.79,4322.05,4711.79,4522.56,856
4386.15,4011.79,4258.46,4123.59,4359.49,4611.28,4070.26,4588.72,4186.67,4233.85,4216.41,4285.64,4630.26,4429.74,860
4369.74,4080.51,4327.18,4186.15,4409.23,4705.13,4131.28,4672.82,4247.69,4293.33,4277.95,4345.13,4669.23,4429.74,864
4328.21,4048.72,4263.59,4122.56,4356.41,4622.56,4109.23,4619.49,4215.9,4246.67,4240.0,4300.51,4636.92,4379.49,865
4408.72,4112.31,4372.31,4232.31,4461.03,4749.74,4170.77,4724.1,4312.82,4351.79,4321.03,4387.69,4721.03,4474.87,868
4371.79,4069.74,4341.54,4187.69,4411.28,4688.21,4137.44,4673.33,4267.69,4290.77,4271.79,4337.95,4687.69,4448.21,870
4361.03,4054.87,4317.44,4179.49,4383.59,4684.1,4115.9,4674.87,4252.82,4288.21,4257.44,4325.13,4662.05,4410.77,872
4347.69,3922.05,4249.74,4064.62,4322.56,4587.69,4090.77,4627.69,4227.69,4266.67,4293.85,4331.79,4759.49,4472.82,876
4330.26,3967.18,4261.54,4091.79,4327.18,4598.46,4087.69,4620.0,4217.95,4246.67,4240.0,4290.26,4677.95,4427.18,877
4367.18,4026.15,4318.97,4183.08,4389.23,4670.77,4125.64,4666.15,4242.05,4275.38,4216.41,4321.54,4623.59,4396.41,913
4428.21,4093.85,4320.0,4173.85,4343.59,4609.23,4065.13,4596.41,4191.28,4230.77,4243.59,4320.0,4676.41,4468.21,921
4319.49,4018.97,4277.95,4141.03,4368.72,4641.03,4085.64,4627.69,4230.26,4283.08,4236.41,4294.87,4647.69,4394.87,927
4357.95,4001.03,4276.41,4128.21,4318.97,4604.1,4071.79,4610.26,4203.59,4237.95,4190.77,4295.9,4661.54,4431.28,928
4383.08,4005.13,4296.41,4134.36,4347.69,4621.54,4083.59,4612.31,4207.18,4266.15,4231.79,4311.79,4661.54,4441.54,930
4399.49,4090.77,4356.92,4204.1,4434.87,4722.05,4155.9,4705.13,4289.23,4336.92,4310.26,4375.9,4711.79,4459.49,932
4348.72,3926.15,4256.41,4075.38,4322.56,4604.1,4107.69,4650.26,4248.72,4284.62,4298.97,4332.82,4752.31,4460.51,934
4341.54,3977.44,4264.62,4097.95,4336.41,4623.59,4102.56,4624.62,4202.05,4235.38,4241.03,4314.87,4659.49,4411.79,940
4423.59,4064.62,4284.62,4168.72,4344.1,4617.95,4077.95,4586.67,4181.54,4246.67,4230.77,4303.08,4658.46,4472.31,968
4370.77,4005.13,4292.31,4121.54,4357.44,4640.51,4100.0,4651.28,4234.36,4283.08,4273.85,4328.72,4731.79,4478.46,978
4373.33,4074.36,4342.05,4190.77,4389.74,4693.33,4117.44,4686.15,4269.23,4302.56,4278.46,4347.69,4683.08,4433.85,993
4376.41,4077.44,4342.05,4196.41,4394.36,4689.74,4113.33,4674.87,4260.0,4297.95,4276.92,4348.72,4682.05,4436.41,996
4334.36,4032.82,4307.69,4128.21,4353.33,4647.69,4098.97,4640.0,4213.85,4253.33,4234.87,4301.54,4628.72,4391.28,1008
4435.9,4060.0,4315.38,4143.08,4358.46,4625.64,4086.67,4636.92,4224.62,4277.95,4274.87,4343.08,4755.38,4525.64,1016
4333.33,4033.85,4296.41,4137.95,4358.97,4636.92,4082.05,4636.41,4208.72,4256.41,4236.92,4304.62,4633.33,4400.0,1024
4327.69,4051.28,4276.92,4135.9,4354.36,4617.95,4103.59,4621.54,4218.46,4236.92,4230.77,4299.49,4633.85,4378.97,1029
4326.15,4017.44,4283.08,4137.95,4364.62,4638.97,4102.56,4635.9,4220.0,4256.41,4232.31,4298.46,4643.59,4402.05,1040
4350.26,4052.82,4326.15,4168.21,4391.28,4674.87,4124.62,4648.72,4236.41,4272.31,4261.03,4322.56,4670.77,4427.69,1056
4363.08,4075.9,4284.62,4148.72,4352.82,4624.1,4113.33,4610.26,4208.72,4227.18,4200.51,4292.31,4612.82,4401.54,1066
4317.95,4015.38,4284.62,4133.85,4370.26,4643.59,4092.82,4616.41,4209.74,4248.72,4231.79,4291.28,4641.54,4406.15,1073
4429.23,4134.36,4296.92,4173.33,4340.51,4598.46,4068.21,4609.23,4190.26,4214.87,4210.26,4301.54,4634.36,4461.03,1077
4315.9,3907.69,4246.15,4058.46,4317.44,4603.08,4103.08,4661.54,4257.44,4287.18,4291.79,4328.72,4744.62,4439.49,1085
4456.92,4128.21,4303.08,4191.28,4348.72,4614.36,4070.77,4580.51,4178.46,4230.26,4227.18,4316.41,4645.13,4492.82,1105
4338.97,3994.36,4293.33,4136.41,4360.0,4631.28,4093.85,4647.69,4225.64,4271.28,4248.21,4311.79,4678.97,4430.26,1114
4385.64,4058.97,4346.67,4187.18,4423.08,4701.54,4155.9,4680.51,4265.64,4298.46,4290.26,4345.13,4695.38,4455.9,1116
4356.92,3997.44,4291.79,4123.59,4358.97,4635.9,4089.74,4643.08,4216.92,4271.28,4258.46,4313.85,4703.08,4448.72,1120
4328.72,4025.64,4282.56,4138.46,4364.1,4633.85,4098.46,4627.69,4209.23,4243.08,4224.62,4293.85,4637.95,4402.56,1124
4335.38,4037.44,4325.13,4154.87,4361.54,4648.72,4100.0,4656.41,4234.87,4257.44,4231.28,4303.08,4633.33,4388.21,1150
4380.51,4005.13,4290.26,4121.54,4350.26,4629.74,4088.21,4632.31,4220.51,4263.08,4252.82,4313.85,4718.46,4474.36,1151
4322.56,4029.23,4296.92,4166.15,4380.51,4661.54,4100.0,4642.56,4233.33,4249.74,4203.59,4297.44,4630.26,4377.95,1163
4368.72,4060.51,4319.49,4170.26,4383.08,4687.18,4123.08,4680.0,4256.92,4292.31,4270.26,4336.92,4671.79,4417.44,1165
4336.41,4038.46,4312.82,4172.82,4381.03,4652.82,4097.44,4644.1,4235.38,4254.87,4223.59,4318.46,4644.62,4401.03,1175
4471.28,4104.1,4303.59,4151.79,4332.82,4591.28,4068.21,4587.69,4176.92,4224.62,4273.33,4341.03,4751.28,4534.36,1199
4413.33,4087.69,4346.67,4200.51,4407.69,4672.82,4131.28,4661.03,4243.59,4282.56,4238.97,4346.15,4656.41,4441.03,1211
4364.1,4055.9,4353.85,4156.92,4373.33,4669.74,4110.77,4663.08,4237.44,4272.82,4255.38,4329.74,4658.97,4420.0,1225
4340.51,4054.87,4327.18,4154.87,4366.67,4662.05,4109.74,4654.87,4233.85,4265.64,4242.56,4303.08,4643.08,4403.59,1226
4328.21,4025.13,4289.23,4137.44,4374.36,4652.82,4084.62,4635.9,4229.23,4261.54,4246.67,4304.62,4641.54,4392.31,1230
4373.33,4099.49,4263.08,4157.95,4357.44,4620.0,4067.69,4612.82,4194.87,4223.08,4212.31,4278.46,4609.23,4403.08,1245
4322.05,4013.33,4296.41,4155.38,4365.13,4641.03,4069.74,4624.1,4210.26,4253.85,4236.92,4306.67,4628.21,4385.13,1259
4331.79,3981.54,4288.21,4123.59,4354.87,4638.97,4091.28,4646.15,4228.21,4268.21,4239.49,4304.62,4670.26,4422.56,1269
4411.79,4040.51,4281.03,4124.1,4343.59,4606.67,4062.56,4620.0,4222.05,4244.62,4247.18,4306.15,4692.82,4467.18,1277
4302.56,4041.03,4287.18,4151.28,4383.08,4654.87,4108.21,4669.23,4251.28,4273.33,4226.15,4299.49,4646.67,4376.92,1282
4404.1,4011.28,4276.92,4136.92,4361.54,4608.21,4082.05,4595.9,4191.28,4255.9,4252.82,4313.85,4674.36,4478.97,1303
4385.64,4060.51,4273.33,4142.56,4338.46,4613.85,4055.9,4591.28,4188.72,4236.92,4210.26,4290.77,4626.67,4432.82,1306
4338.97,4038.97,4314.36,4153.85,4363.08,4654.36,4101.54,4644.1,4217.95,4252.31,4228.21,4292.31,4629.74,4386.15,1309
4330.77,4046.15,4292.82,4140.0,4359.49,4612.82,4066.15,4601.03,4206.15,4243.08,4229.23,4310.77,4645.13,4382.56,1317
4343.59,4036.92,4296.41,4156.92,4361.54,4630.77,4103.08,4614.36,4195.38,4235.38,4228.72,4290.26,4630.77,4397.95,1323
4373.33,4076.92,4338.46,4184.62,4423.59,4715.38,4142.56,4688.21,4264.62,4317.95,4289.23,4352.82,4690.77,4440.0,1350
4373.33,4066.67,4278.97,4157.95,4335.38,4614.36,4067.18,4605.13,4195.9,4223.08,4215.9,4291.28,4622.05,4410.26,1354
4343.08,4040.51,4267.69,4148.21,4330.26,4624.1,4052.31,4617.95,4209.74,4241.03,4223.59,4294.36,4639.49,4403.08,1355
4343.08,3987.18,4277.95,4107.69,4341.03,4628.21,4090.26,4616.92,4213.85,4263.08,4221.54,4293.85,4636.92,4408.72,1368
4386.67,4063.08,4294.36,4138.46,4334.87,4623.59,4074.36,4627.18,4204.1,4230.26,4221.54,4305.64,4609.74,4435.38,1398
4361.54,4041.54,4324.62,4190.26,4412.82,4682.56,4141.03,4678.46,4254.87,4284.1,4269.74,4327.18,4669.74,4417.95,1411
4400.0,4024.1,4266.15,4137.95,4356.92,4602.56,4073.85,4594.87,4193.33,4262.56,4245.64,4307.18,4674.87,4457.44,1415
4385.64,4062.56,4347.18,4183.59,4427.18,4702.56,4160.0,4680.51,4268.72,4311.79,4296.92,4349.23,4698.46,4461.54,1434
4363.08,4039.49,4310.26,4172.31,4404.1,4674.87,4139.49,4665.13,4245.13,4278.97,4250.77,4318.97,4667.69,4414.36,1458
4354.36,3994.87,4279.49,4141.03,4332.31,4615.9,4076.41,4605.13,4202.05,4247.18,4199.49,4309.74,4660.0,4431.79,1466
4346.15,3995.38,4283.59,4120.51,4355.9,4637.44,4095.9,4617.44,4208.72,4255.9,4224.1,4302.05,4642.56,4408.72,1467
4371.28,4057.44,4283.08,4145.13,4332.31,4614.87,4076.92,4613.85,4198.46,4228.72,4204.1,4294.36,4606.67,4406.15,1468
4352.31,4048.72,4324.62,4146.67,4371.28,4665.13,4107.69,4659.49,4243.59,4275.9,4248.72,4303.59,4658.97,4410.77,1479
4431.79,4072.31,4304.62,4154.36,4350.77,4621.03,4077.44,4601.54,4211.28,4275.9,4249.74,4321.54,4685.64,4476.41,1480
4416.41,4057.95,4278.46,4167.69,4344.1,4604.1,4062.05,4587.18,4192.82,4247.18,4230.26,4295.38,4663.59,4468.21,1481
4404.62,4084.1,4344.62,4201.03,4405.64,4671.28,4134.36,4658.46,4237.95,4257.95,4225.13,4331.79,4633.85,4434.36,1487
4473.85,4116.92,4309.74,4166.67,4326.15,4587.18,4067.18,4616.41,4204.62,4233.85,4252.82,4328.72,4707.18,4525.64,1490
4356.41,4058.97,4321.54,4168.72,4388.72,4695.38,4125.13,4681.54,4256.41,4288.21,4264.62,4338.97,4658.46,4413.85,1492
4427.69,4140.0,4317.95,4187.18,4351.28,4626.67,4076.92,4615.9,4197.95,4225.13,4197.44,4304.1,4634.87,4457.95,1495
4422.56,4083.59,4306.67,4165.64,4325.13,4601.54,4061.54,4596.92,4173.33,4221.03,4224.62,4314.87,4651.79,4477.95,1499
4328.21,4020.51,4287.18,4137.95,4366.67,4646.15,4080.51,4637.95,4228.21,4268.72,4248.72,4314.87,4648.21,4393.85,1516
4409.74,4113.33,4384.62,4232.82,4452.82,4748.72,4165.64,4721.03,4312.31,4352.82,4319.49,4384.62,4719.49,4464.62,1519
4409.23,4087.69,4281.03,4155.9,4320.0,4584.1,4051.28,4578.46,4167.69,4200.51,4164.62,4298.46,4642.05,4456.41,1522
4375.9,4100.0,4254.87,4155.38,4356.41,4613.85,4062.56,4606.67,4184.62,4213.85,4206.67,4273.33,4606.15,4399.49,1528
4388.21,4071.79,4356.92,4208.21,4431.28,4706.67,4148.72,4686.15,4275.9,4308.21,4292.31,4350.77,4703.08,4462.05,1533
4378.97,4047.69,4341.03,4184.1,4416.41,4696.92,4159.49,4683.08,4261.54,4302.56,4295.38,4345.64,4697.44,4451.28,1540
4389.74,4108.72,4300.51,4174.36,4348.72,4605.64,4068.72,4594.36,4167.69,4199.49,4200.0,4295.9,4585.13,4428.72,1547
4324.62,4024.1,4287.18,4140.0,4362.56,4634.87,4097.44,4629.23,4210.77,4242.56,4227.69,4295.9,4636.92,4398.97,1553
4341.03,4036.92,4289.74,4138.46,4343.59,4618.97,4085.13,4605.64,4183.59,4220.0,4223.08,4301.54,4616.92,4416.92,1564
4385.64,4004.1,4285.64,4126.15,4348.72,4626.67,4081.54,4608.21,4203.08,4263.08,4236.41,4306.15,4672.82,4451.28,1567
4324.1,4034.87,4280.51,4139.49,4359.49,4640.0,4082.05,4638.46,4224.62,4261.54,4217.44,4307.18,4637.95,4401.03,1584
4429.23,4046.15,4299.49,4143.08,4346.15,4626.15,4076.92,4603.59,4209.23,4269.23,4240.0,4318.46,4681.03,4475.38,1589
4383.59,4072.82,4328.72,4186.67,4401.54,4678.46,4139.49,4662.56,4246.15,4277.44,4237.44,4326.15,4651.79,4427.18,1591
4343.59,3998.46,4286.67,4123.59,4360.0,4638.97,4095.9,4649.23,4222.56,4264.62,4240.51,4301.54,4677.95,4433.85,1593
4385.64,4082.56,4344.62,4187.69,4404.62,4698.46,4136.41,4678.46,4268.21,4300.51,4285.64,4356.41,4681.03,4438.97,1596
4329.74,4057.44,4271.28,4124.1,4361.03,4641.03,4120.0,4633.85,4233.33,4246.67,4234.87,4297.95,4639.49,4387.69,1607
4369.23,4083.08,4290.26,4152.31,4359.49,4632.82,4116.41,4614.87,4209.23,4224.62,4209.74,4294.87,4615.38,4402.05,1617
4351.79,3970.26,4265.64,4104.1,4324.62,4616.41,4102.56,4627.69,4210.77,4228.72,4240.51,4315.38,4666.67,4420.0,1624
