index,probability_gcforest,label_gcforest,probability_logistic,label_logistic,probability_mlp,label_mlp,probability_random_forest,label_random_forest,probability,label
125,0.787581478,0,0.900368228,0,0.641195682,0,0.614285714,1,0.90802125,0
127,0.752046227,1,0.592425356,0,0.672428983,1,0.764285714,1,0.5,1
129,0.784300883,1,0.742687477,0,0.699408646,0,0.611309524,0,0.806622235,0
136,0.76481569,1,0.574325579,0,0.636391032,0,0.853571429,1,0.576596431,0
137,0.779185207,1,0.690438849,0,0.619135316,0,0.585714286,1,0.745561473,0
140,0.784300883,1,0.908767894,0,0.69088056,0,0.760714286,0,0.930227344,0
141,0.866809142,0,0.689877669,1,0.764313699,1,0.759637188,1,0.756215311,1
143,0.83854546,1,0.86261858,0,0.520643864,0,0.850680272,1,0.893876043,0
144,0.849330488,1,0.663288784,0,0.553634159,1,0.921428571,1,0.688776771,0
145,0.594440276,0,0.951125875,0,0.602074163,0,0.779761905,1,0.968179686,0
148,0.88454759,1,0.995788753,1,0.983012836,1,0.817857143,0,0.999996322,1
149,0.889959755,1,0.699293892,1,0.775055301,1,0.85952381,0,0.801750631,1
150,0.823537324,0,0.697500813,1,0.525036685,1,0.957428377,0,0.662686564,1
155,0.838403226,1,0.593218049,0,0.519040679,1,0.992857143,1,0.595187626,0
160,0.632125034,1,0.588968368,0,0.713155303,0,0.575,1,0.538378688,0
164,0.788822461,0,0.592297601,1,0.546285299,0,0.827830663,0,0.603908288,1
166,0.757690302,1,0.848914483,0,0.503821515,0,0.751190476,1,0.819783191,0
167,0.768844165,1,0.737269133,0,0.507366705,0,0.58452381,0,0.716890648,0
168,0.847386944,1,0.665922037,0,0.557975606,0,0.946428571,1,0.698579737,0
170,0.781874542,0,0.644955649,1,0.53321226,0,0.634221919,1,0.655751746,1
173,0.889478723,1,0.974694982,1,0.866008609,1,0.603571429,0,0.990108583,1
175,0.771333489,0,0.633826195,0,0.553029175,0,0.873326772,1,0.613491232,0
178,0.788779999,1,0.917617198,1,0.534553963,0,0.622619048,1,0.950098683,1
180,0.957690074,0,0.606357622,1,0.532273262,1,0.855110468,0,0.631395648,1
182,0.574931332,0,0.935065332,0,0.669878381,0,0.545833333,0,0.954603846,0
190,0.937320775,0,0.701758909,0,0.522189847,1,0.678018478,0,0.709184162,0
191,0.761622947,1,0.523367148,0,0.598397467,0,0.813690476,0,0.50630004,1
192,0.846351438,1,0.93920737,0,0.718778534,0,0.544047619,1,0.974772653,0
194,0.799776119,1,0.758135715,0,0.56475044,0,0.731904762,1,0.705893491,0
195,0.883986546,1,0.999941273,1,0.992960231,1,0.828571429,0,1,1
197,0.879204433,1,0.996834719,1,0.916513812,1,0.957142857,0,0.999997886,1
198,0.917249626,0,0.510370303,0,0.547768669,1,0.67851504,0,0.516113949,1
203,0.845902143,1,0.744300206,0,0.680274128,0,0.944047619,1,0.730852135,0
205,0.866266571,0,0.661838659,0,0.570641959,0,0.576086412,1,0.717140452,0
206,0.779237909,1,0.580832549,0,0.582858707,1,0.921428571,1,0.559008572,0
209,0.942712983,0,0.602194872,0,0.504624006,0,0.897729861,0,0.590256892,0
211,0.802103896,0,0.971126555,0,0.500331438,1,0.777380952,1,0.981555781,0
214,0.931408537,0,0.683847828,1,0.631192784,0,0.78047145,0,0.702349743,1
217,0.706462884,1,0.641593037,0,0.536349367,0,0.655952381,0,0.614980694,0
218,0.787873586,0,0.533562452,0,0.513588532,0,0.822256139,0,0.563229876,0
222,0.76617388,0,0.758495943,0,0.662848311,1,0.724247089,1,0.754644403,0
224,0.883942373,0,0.528826697,1,0.549511721,1,0.825,1,0.544802501,1
228,0.917044922,0,0.867316359,1,0.617583499,1,0.985714286,1,0.895975427,1
229,0.890230775,1,0.598675232,0,0.50383755,1,0.939285714,1,0.549860529,0
232,0.545617889,0,0.997336364,1,0.503887696,1,0.917532468,0,0.999996818,1
236,0.784894927,1,0.94707093,0,0.633349031,0,0.516666667,1,0.94770847,0
242,0.772108445,1,0.880204397,0,0.561909305,0,0.617857143,1,0.880198562,0
244,0.91264951,0,0.571180063,0,0.628742686,0,0.856729141,0,0.571422013,0
247,0.915300093,0,0.573007058,0,0.646283195,0,0.845123575,0,0.509498359,0
248,0.800736828,1,0.949810692,1,0.523444433,0,0.967857143,0,0.92550089,1
256,0.924646109,0,0.585247132,1,0.510312843,0,0.686744839,0,0.650322748,1
258,0.698264568,1,0.748206387,0,0.662352182,0,0.833333333,0,0.801514234,0
261,0.721838329,0,0.970028006,1,0.53527419,0,0.978571429,0,0.983803067,1
264,0.77857581,1,0.784732854,1,0.59884368,0,0.814285714,0,0.679591894,1
269,0.574931332,0,0.847925637,1,0.508473452,0,0.622735221,1,0.897408668,1
273,0.799470274,1,0.880039633,0,0.664024337,0,0.717857143,0,0.915129499,0
275,0.848786112,1,0.757806897,0,0.612401814,0,0.598809524,1,0.775671694,0
280,0.877967166,0,0.963195495,0,0.637682717,0,0.512821854,1,0.975172272,0
285,0.855573681,1,0.671281738,0,0.566100133,0,0.964285714,1,0.719359824,0
286,0.797331588,0,0.944092883,0,0.646357091,0,0.596541057,1,0.951079131,0
287,0.668278303,1,0.900570544,0,0.683216482,0,0.54702381,0,0.876277891,0
289,0.756431428,0,0.843272462,0,0.657493945,1,0.635250668,1,0.843837856,0
292,0.780125791,0,0.631913535,0,0.54020811,0,0.592857143,0,0.603391426,0
293,0.890230775,1,0.678127527,0,0.566749332,0,1,1,0.700380274,0
296,0.660110391,1,0.631779477,1,0.514392881,1,0.855952381,0,0.673108629,1
297,0.805913081,1,0.678115005,0,0.634162423,0,0.661904762,0,0.708052286,0
302,0.829172936,0,0.518264139,1,0.551490308,1,0.657600406,0,0.566378395,1
306,0.881750709,0,0.887559331,0,0.729106144,0,0.614397585,1,0.883623274,0
307,0.769130755,0,0.682712689,1,0.575931616,0,0.96255689,0,0.645991886,1
321,0.79675152,0,0.516513422,0,0.787103846,0,0.954951248,0,0.566694858,0
322,0.82760472,1,0.965704037,1,0.545805424,0,0.971428571,1,0.979784529,1
323,0.767135331,1,0.546901953,1,0.591122226,0,0.8875,1,0.569046211,1
324,0.890432003,1,0.986718807,1,0.94709543,1,0.919047619,0,0.996764738,1
325,0.771333489,0,0.734688574,1,0.571874669,0,0.730037278,0,0.73043659,1
328,0.778925085,0,0.671787235,0,0.526410744,0,0.669047619,0,0.690279368,0
329,0.764478737,0,0.512563842,1,0.54849532,0,0.861175508,0,0.525205914,0
331,0.958437983,0,0.61268121,1,0.530965929,1,0.678091624,0,0.622148457,1
332,0.771216004,0,0.588183998,1,0.606889799,0,0.914285714,1,0.542794452,1
335,0.654385506,1,0.608735315,0,0.64742738,0,0.583333333,1,0.641333028,0
337,0.860987992,1,0.509420244,0,0.584697583,0,0.80952381,1,0.515615819,1
338,0.595457494,0,0.96629668,1,0.682181662,1,0.548214286,0,0.978311852,1
339,0.842208724,1,0.775714426,0,0.540501969,0,0.928571429,1,0.806365261,0
340,0.814613688,0,0.583413476,0,0.569775728,1,0.796428571,1,0.566590518,0
343,0.949794021,1,0.584361555,0,0.536758169,0,0.947619048,1,0.58589479,0
346,0.531835344,0,0.966706701,0,0.779871102,0,0.8,0,0.972650471,0
347,0.856781562,1,0.95869653,1,0.596474734,1,0.510119048,0,0.969253809,1
348,0.576586368,1,0.59650341,1,0.647628178,0,0.602946963,1,0.581906632,1
351,0.757033356,0,0.587009586,0,0.571845232,0,0.696391847,0,0.551487486,0
357,0.623738836,0,0.989270407,0,0.605428472,0,0.504761905,0,0.992647293,0
358,0.828494661,0,0.681869304,0,0.575282728,0,0.786607143,1,0.672029253,0
365,0.881750709,0,0.829411604,0,0.553545115,0,0.537906405,0,0.844952398,0
369,0.840687063,1,0.714281219,0,0.517517498,1,0.842261905,1,0.683713834,0
372,0.92462932,0,0.630644665,1,0.601275604,1,0.71733236,0,0.665378736,1
373,0.870440749,1,0.822598567,1,0.596574045,0,0.895238095,1,0.832803032,1
377,0.736896904,1,0.831836397,1,0.599105972,0,0.929285714,1,0.88979776,1
379,0.774845253,1,0.799302139,0,0.623148907,1,0.646428571,1,0.740138991,0
380,0.89191045,1,0.934121202,1,0.917868258,1,0.764285714,0,0.982379333,1
381,0.77857581,1,0.93649574,1,0.533067543,0,0.904761905,0,0.908254781,1
384,0.881594825,0,0.986284357,0,0.632379534,0,0.783201947,1,0.991787022,0
386,0.846048846,1,0.677149628,0,0.570583592,1,0.84047619,1,0.698410041,0
403,0.89191045,1,0.657310558,1,0.668773189,0,0.967857143,1,0.719405616,1
404,0.758222717,0,0.624796862,0,0.60909776,0,0.91547619,0,0.607281821,0
409,0.782785173,0,0.96979074,0,0.518109408,1,0.86547619,1,0.977813328,0
411,0.752230181,0,0.505934396,1,0.61197649,0,0.976879468,0,0.522663185,0
412,0.774502156,0,0.748987567,1,0.516301505,0,0.653564563,0,0.772392669,1
417,0.88510705,0,0.823752792,0,0.582179924,0,0.804258184,0,0.865357386,0
418,0.959780257,0,0.566671152,0,0.59448116,0,0.881762967,0,0.593784943,0
419,0.790000631,1,0.939790463,1,0.91569397,1,0.935714286,0,0.976613427,1
420,0.888224443,0,0.807748844,1,0.551374469,1,0.921428571,1,0.843196755,1
421,0.857492779,1,0.904715147,0,0.553585365,0,0.885714286,1,0.922883784,0
422,0.934651867,0,0.904943261,0,0.519024741,1,0.984565143,0,0.939882289,0
425,0.733404364,1,0.73111592,0,0.622006651,0,0.769047619,1,0.756749202,0
432,0.751121839,0,0.732105308,0,0.583018236,0,0.564285714,0,0.74293438,0
437,0.927297775,0,0.875261155,0,0.507778787,0,0.95434488,0,0.908459075,0
438,0.550206989,0,0.581836939,0,0.508826192,0,0.771428571,1,0.517393915,0
439,0.912541591,0,0.692250731,1,0.568417712,0,0.788937186,0,0.673543403,1
443,0.781958966,0,0.582685361,1,0.617373166,0,0.976002723,0,0.570519221,1
445,0.723020065,1,0.737397996,0,0.662988554,0,0.527857143,1,0.713976269,0
446,0.780407576,0,0.855120956,1,0.551745779,1,0.751190476,1,0.846261337,1
447,0.60709849,0,0.782074247,0,0.598891372,0,0.875,1,0.797814891,0
451,0.840589771,0,0.719428651,0,0.522917647,0,0.817857143,1,0.690133923,0
452,0.936147379,0,0.766545802,1,0.522845077,0,0.653106921,0,0.691342492,1
455,0.797447469,1,0.725681051,0,0.512232029,1,0.663690476,1,0.726778565,0
456,0.776091601,0,0.880501301,0,0.548145342,0,0.89702381,1,0.916362232,0
461,0.855051519,1,0.779325206,0,0.641276258,0,0.618571429,1,0.804206692,0
463,0.825784337,0,0.509705907,1,0.506445437,1,0.986662578,0,0.519369816,1
465,0.516136995,1,0.601434511,0,0.636754174,0,0.848809524,1,0.543194412,0
466,0.56734106,0,0.567629654,0,0.571396114,1,0.85952381,0,0.533210281,1
467,0.605311211,0,0.719893385,0,0.561753408,0,0.725,0,0.716999146,0
468,0.896602023,0,0.600226154,1,0.532139206,1,0.593061269,1,0.637191786,1
469,0.585799895,0,0.875638848,1,0.558953256,1,0.96547619,1,0.89923297,1
474,0.935788211,0,0.657602423,0,0.568349741,1,0.509681147,1,0.656182599,0
475,0.93869246,0,0.520596789,1,0.531719899,0,0.921616049,0,0.561439542,1
477,0.931304396,0,0.832034851,0,0.666621985,0,0.686008533,0,0.830306461,0
478,0.610989455,0,0.92936238,0,0.506616389,0,0.782142857,1,0.944281057,0
481,0.773014435,0,0.565646161,1,0.523488871,0,0.825478272,0,0.550698908,1
483,0.92837923,0,0.649242524,1,0.564773978,1,0.980952381,1,0.69240563,1
484,0.824839067,1,0.529169895,1,0.635917953,0,0.626190476,0,0.568658386,0
486,0.935772289,0,0.926190382,0,0.506241617,1,0.886167084,0,0.929079389,0
487,0.890566872,1,0.578920416,0,0.566748727,0,0.985714286,1,0.558998365,0
489,0.775289442,1,0.653165373,0,0.646697886,1,0.69702381,1,0.642062615,0
490,0.917846641,0,0.572493953,0,0.619495678,0,0.888948881,0,0.621841017,0
493,0.795408219,1,0.766775674,1,0.536708124,1,0.584047619,1,0.796338881,1
496,0.776963243,0,0.739638169,0,0.663297529,0,0.744942928,0,0.811095172,0
497,0.908897665,0,0.857262918,0,0.54248122,0,0.975974412,0,0.905155525,0
500,0.719888427,0,0.9875691,1,0.527119362,0,0.978246753,0,0.994655178,1
504,0.891812203,1,0.943302555,1,0.592561665,1,0.533928571,0,0.973016312,1
506,0.886222218,1,0.920538155,1,0.832775161,1,0.707142857,1,0.963726031,1
510,0.843967614,1,0.631301368,0,0.627224179,0,0.95952381,1,0.63805849,0
511,0.81038747,1,0.887858272,0,0.736950207,0,0.842857143,1,0.920282994,0
513,0.550804853,0,0.860481454,0,0.651063871,0,0.655952381,1,0.884029051,0
517,0.788151046,1,0.99653917,1,0.931545687,1,0.557142857,1,0.999997278,1
518,0.878295875,0,0.580197807,1,0.526602651,0,0.531476421,0,0.59170829,1
528,0.788151046,1,0.9958616,1,0.954830386,1,0.933333333,0,0.999996945,1
529,0.782570802,1,0.844495864,1,0.752574649,1,0.619047619,0,0.895195549,1
530,0.840876135,1,0.962178729,0,0.644047435,0,0.866666667,1,0.963168998,0
532,0.825558187,1,0.776579869,0,0.533465359,0,0.971428571,1,0.826205112,0
534,0.516206696,1,0.598670777,0,0.544155885,1,0.822619048,1,0.56737096,0
536,0.632827747,1,0.975747812,1,0.546266487,1,0.601785714,0,0.98778034,1
540,0.797447469,1,0.723672521,0,0.539365776,1,0.602380952,1,0.697360478,0
543,0.651363628,1,0.552139412,0,0.67010651,0,0.520238095,1,0.557638327,0
545,0.772108445,1,0.549891116,0,0.589074985,1,0.878571429,1,0.535111966,0
547,0.919708845,0,0.513938256,1,0.543659893,0,0.942990311,0,0.507830904,1
549,0.885827752,1,0.542492139,0,0.685660069,1,0.639285714,1,0.513406841,0
551,0.573791694,0,0.982684342,0,0.675125911,0,0.764047619,0,0.988546101,0
564,0.98025193,0,0.809056608,0,0.564833341,1,0.744210031,0,0.814623113,0
565,0.893748445,1,0.689625823,0,0.550176028,1,0.720238095,1,0.669140795,0
567,0.947646415,0,0.693448707,0,0.543765049,0,0.912351398,0,0.739541993,0
568,0.771821982,0,0.823830575,1,0.647487866,0,0.566581264,0,0.823171289,1
571,0.832921287,1,0.506355439,1,0.585256019,1,0.953571429,1,0.505554855,1
573,0.878181823,1,0.819336299,0,0.526969387,0,0.505357143,1,0.818608584,0
578,0.944593257,0,0.764608293,1,0.510506984,1,0.555047707,1,0.785619418,1
583,0.891884987,1,0.993521126,1,0.929982352,1,0.65,0,0.999990808,1
585,0.732768713,0,0.987084844,1,0.520447411,1,0.892857143,0,0.995087913,1
586,0.7068573,0,0.972466895,1,0.520169588,0,0.977056277,0,0.986505167,1
587,0.764064336,1,0.634722316,0,0.628385199,0,0.778571429,1,0.583684352,0
589,0.685895368,1,0.866047117,0,0.527251942,1,0.766071429,1,0.874339464,0
594,0.936312025,0,0.532796442,0,0.542364629,0,0.995476558,0,0.527849566,0
595,0.972240629,1,0.99748252,1,0.717987127,1,0.686309524,1,0.9999957,1
599,0.790074644,1,0.601854209,0,0.703137064,0,0.571428571,1,0.668242587,0
601,0.7176664,1,0.580543051,0,0.577559125,0,0.771428571,0,0.552288189,0
604,0.538410869,1,0.964223856,0,0.633714029,0,0.825,1,0.97593322,0
608,0.793346547,1,0.862833583,0,0.664831029,0,0.532857143,1,0.879934121,0
611,0.921219495,0,0.878866549,1,0.591811019,1,0.62228935,1,0.877466982,1
617,0.857976643,1,0.611434979,0,0.569246579,0,0.666666667,1,0.635412884,0
622,0.816513454,1,0.522979994,1,0.50354788,1,0.532142857,1,0.549332876,1
625,0.836321876,0,0.577422635,0,0.531663099,0,0.862780991,0,0.649022604,0
628,0.693237666,0,0.513626291,0,0.673573389,0,0.657142857,0,0.507091934,0
629,0.590279819,0,0.684180548,1,0.569525421,1,0.719642857,1,0.726895408,1
630,0.706766971,1,0.874906789,0,0.707823887,0,0.682857143,0,0.916119609,0
631,0.942889827,0,0.981593435,0,0.627556181,0,0.692226493,0,0.988820074,0
634,0.948752366,0,0.908065054,0,0.531394875,0,0.602189588,0,0.93057888,0
635,0.618174033,0,0.686112714,1,0.50832094,0,0.748214286,1,0.733033168,1
641,0.81127587,1,0.85008412,0,0.636904521,1,0.664285714,1,0.793196241,0
642,0.706766971,1,0.610716148,1,0.645225409,0,0.785714286,0,0.623784698,1
647,0.941895827,0,0.555265192,0,0.549219316,0,0.780295184,0,0.560882496,0
648,0.502528058,1,0.745365615,1,0.500720594,0,0.916071429,0,0.787684479,1
653,0.920981631,0,0.846388623,0,0.723171938,0,0.743897969,0,0.915534605,0
656,0.708350866,0,0.910760295,1,0.543781706,1,0.952380952,0,0.942130599,1
668,0.801366371,1,0.83466316,0,0.618266754,0,0.85952381,1,0.880033494,0
669,0.790000631,1,0.96170557,1,0.891991948,1,0.719642857,0,0.986186319,1
670,0.843820911,1,0.555563567,0,0.551969752,0,0.914285714,1,0.576535922,0
672,0.808252348,0,0.57337243,1,0.530466548,1,0.987701528,0,0.548181099,1
675,0.809120798,1,0.624660563,1,0.66703966,0,0.804761905,0,0.539325906,1
676,0.758819559,1,0.829667692,0,0.633380689,0,0.745238095,1,0.804102939,0
678,0.813779183,1,0.833171122,0,0.500242019,0,0.922108844,1,0.855127948,0
679,0.795408219,1,0.526427031,0,0.582758897,1,0.629166667,0,0.558807356,1
683,0.735557387,1,0.536204119,1,0.513717683,1,0.678571429,0,0.5,1
684,0.954125156,0,0.665820746,1,0.501547756,0,0.791561995,0,0.708735014,1
687,0.783763634,1,0.864238854,0,0.571551145,0,0.693809524,0,0.838496963,0
694,0.789349183,1,0.879878549,1,0.901876987,1,0.864285714,0,0.955022282,1
695,0.826114059,1,0.935336621,1,0.607319422,0,0.908333333,0,0.892146155,1
697,0.556048131,1,0.531446997,0,0.670291316,0,0.8875,0,0.529212462,0
704,0.843116509,1,0.60604766,0,0.616012283,0,0.858928571,1,0.639031845,0
710,0.62017954,1,0.975567565,1,0.504295143,0,0.892857143,0,0.986501257,1
716,0.877451448,0,0.706326183,0,0.52331635,0,0.981095288,0,0.763619274,0
717,0.644385935,1,0.72504881,1,0.579816391,0,0.560714286,1,0.728982249,1
718,0.860637342,1,0.603217522,0,0.557587871,1,0.510714286,1,0.639549725,0
723,0.647313048,1,0.999569188,0,0.947593751,0,0.87,1,0.999846767,0
727,0.596334756,0,0.525628567,0,0.537253186,0,0.90952381,1,0.517386078,1
729,0.886116204,0,0.675369156,0,0.588035552,1,0.85333651,0,0.710978132,0
736,0.700783713,1,0.986871914,1,0.543397733,1,0.661703555,0,0.992796565,1
737,0.760103254,0,0.738538006,1,0.58237381,0,0.874878431,0,0.722166752,1
738,0.818953225,1,0.502239696,1,0.641201903,0,0.971428571,1,0.505695856,0
745,0.845426279,1,1,0,1,0,0.619642857,1,0.9999999,0
746,0.788151046,1,0.996702895,1,0.956864793,1,0.855357143,0,0.99999881,1
749,0.818340537,0,0.506114589,0,0.651454305,0,0.99079892,0,0.524827259,0
751,0.824044604,1,0.519925654,0,0.521806142,0,0.573809524,0,0.570935136,1
752,0.829039212,1,0.663110803,1,0.640443,0,0.645714286,1,0.609518878,1
754,0.861674101,1,0.89703482,0,0.599861602,0,0.71952381,1,0.942592336,0
756,0.786693273,1,0.765640953,0,0.52757942,0,0.717857143,1,0.780447148,0
761,0.771821982,0,0.841147371,1,0.53709559,0,0.699786428,0,0.856942123,1
770,0.93485898,0,0.56839021,1,0.525708278,1,0.803175324,0,0.613439216,1
773,0.905386078,0,0.983864869,0,0.572555558,0,0.542736077,0,0.991947845,0
775,0.777774928,1,0.669724344,0,0.629150633,1,0.65952381,1,0.579552446,0
780,0.883942373,0,0.927677086,0,0.757383705,0,0.560962104,0,0.946695999,0
782,0.88652216,0,0.570424646,0,0.535574113,0,0.892266765,0,0.636511058,0
785,0.808250742,1,0.931869986,1,0.83729766,1,0.754761905,0,0.967710658,1
786,0.885655716,1,0.707547569,1,0.711066703,1,0.569047619,0,0.755435583,1
792,0.806234785,1,0.644556653,1,0.707822269,0,0.869047619,0,0.550481331,0
797,0.942082616,0,0.547284858,1,0.50616829,0,0.550021119,0,0.606296342,1
799,0.751200752,0,0.625076389,1,0.576004996,0,0.864299031,0,0.575744579,1
800,0.778908949,0,0.913526322,0,0.570767375,0,0.955952381,1,0.934105094,0
804,0.785743129,1,0.749206819,0,0.667728931,1,0.713095238,0,0.665770816,0
809,0.79489399,1,0.884428376,0,0.752827161,0,0.689285714,0,0.914107745,0
815,0.617982145,1,0.857898751,0,0.708394936,0,0.525,0,0.886562865,0
818,0.623474011,0,0.700646692,0,0.580345646,0,0.623809524,1,0.748028588,0
819,0.816709865,1,0.761301474,0,0.574659263,1,0.680952381,1,0.728127492,0
820,0.69463719,1,0.65107816,0,0.641241023,0,0.525595238,1,0.717456889,0
823,0.604437585,0,0.602199564,0,0.565051998,1,0.892857143,1,0.597516382,0
825,0.597208382,0,0.963093283,1,0.600180271,0,0.980357143,0,0.978814143,1
826,0.88439334,0,0.754670136,1,0.511966536,1,0.659432613,0,0.768164486,1
829,0.722160533,0,0.999390286,0,0.949322963,0,0.867857143,1,0.999780931,0
830,0.897669391,0,0.601302425,0,0.539725886,0,0.953979403,0,0.606644688,0
831,0.706462884,1,0.947049373,0,0.623853787,0,0.639285714,1,0.96612238,0
832,0.824880508,1,0.706027066,1,0.686219555,1,0.792142857,0,0.741773767,1
835,0.815475249,1,0.968170849,1,0.618974436,1,0.617857143,0,0.97616602,1
836,0.831672145,1,0.731310215,0,0.546117082,0,0.892857143,1,0.715234385,0
838,0.801476198,0,0.892823362,0,0.643220153,0,0.885714286,1,0.896981396,0
842,0.800292543,1,0.856319975,1,0.646991135,0,0.739285714,0,0.775788429,1
843,0.783312555,1,0.756383076,0,0.552197453,0,0.907142857,1,0.743960561,0
844,0.682188869,1,0.675753796,0,0.508923621,1,0.61547619,1,0.645632427,0
850,0.501852992,0,0.976132181,0,0.617977988,0,0.79702381,1,0.985171887,0
855,0.822641866,1,0.909042529,0,0.611832503,0,0.795238095,1,0.918370948,0
856,0.888399979,1,0.999993954,1,0.991482981,1,0.79047619,0,1,1
859,0.87932073,0,0.55087001,0,0.563683426,0,0.610203323,0,0.612414889,0
864,0.890230775,1,0.986577838,0,0.699892249,0,0.845238095,1,0.98765812,0
865,0.845426279,1,0.67321279,0,0.501723514,0,0.880952381,1,0.637066869,0
871,0.516424247,0,0.620893079,0,0.732716753,0,0.548167702,1,0.614764181,0
872,0.892136345,1,0.952198283,0,0.570005877,0,0.889285714,1,0.961655686,0
873,0.826910787,1,0.705320645,0,0.582704367,0,0.8,1,0.732765214,0
879,0.883724217,0,0.819136668,1,0.563324502,1,0.687712292,1,0.8075563,1
880,0.843259997,1,0.596231043,0,0.509584016,1,0.783333333,1,0.604346748,0
883,0.9155926,0,0.571440088,0,0.532844897,0,0.706469399,0,0.545498536,0
884,0.700301737,1,0.704819185,0,0.627676435,1,0.629761905,1,0.724384291,0
885,0.890226015,1,0.596130662,0,0.573826788,1,0.649404762,1,0.593676736,0
887,0.760866882,0,0.502136883,1,0.571799621,1,0.921428571,1,0.543897569,1
891,0.774502156,0,0.850385081,1,0.632840055,0,0.666845947,0,0.852846128,1
900,0.840589108,0,0.693385391,0,0.561417942,0,0.720090602,1,0.66957168,0
903,0.848082082,1,0.679739375,0,0.647802308,0,0.630357143,1,0.739779111,0
914,0.794555208,0,0.988382054,0,0.659307262,0,0.916666667,1,0.99301632,0
917,0.794469575,1,0.541879315,1,0.632396393,0,0.653571429,1,0.578232656,1
918,0.813180773,1,0.761686097,1,0.624847483,1,0.611904762,0,0.806270504,1
920,0.867829593,0,0.688083745,0,0.598729642,0,0.882914388,0,0.729215337,0
921,0.889674779,1,0.997029956,1,0.919310937,1,0.677380952,0,0.999996626,1
922,0.639080397,0,0.55036559,0,0.645126192,0,0.803571429,1,0.52671772,0
923,0.928188689,0,0.620305487,1,0.568296749,0,0.63636587,0,0.624799182,1
927,0.794201538,1,0.777909499,0,0.539455842,1,0.59047619,1,0.730739575,0
929,0.818457145,1,0.556405941,0,0.76101263,0,0.681547619,1,0.5,0
931,0.789336274,0,0.507458567,0,0.515892177,0,0.585141093,1,0.542985883,1
932,0.858164479,1,0.75402474,0,0.550617971,0,1,0,0.69747991,0
933,0.812178787,0,0.687995012,1,0.656628472,0,0.87714889,0,0.751905713,1
